Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
DHC,12,5,5,1,1,0,0,0,0,0,0,0
HLD,12,1,11,10,0,10,7,0,7,3,0,3
AAV,11,2,9,4,0,4,3,0,3,2,0,2
LIG,11,0,11,1,0,1,1,0,1,1,0,1
FLC,10,5,4,1,0,0,1,0,0,1,0,0
SWC,10,2,8,1,0,1,0,0,0,0,0,0
HBC,10,5,4,1,0,0,1,0,0,1,0,0
PVI,10,4,6,4,1,3,2,1,1,0,0,0
TCW,10,2,7,2,0,2,1,0,1,0,0,0
DHT,10,2,8,1,0,1,0,0,0,0,0,0
APS,10,7,3,0,0,0,0,0,0,0,0,0
VGS,9,2,7,3,1,2,1,0,1,0,0,0
PVD,9,5,3,2,1,0,1,0,0,1,0,0
CTD,9,5,3,6,4,1,4,3,0,3,2,0
VPI,9,8,0,8,7,0,4,4,0,0,0,0
KSH,9,3,6,3,1,2,3,1,2,2,1,1
TCH,9,5,3,1,0,0,1,0,0,1,0,0
PVC,9,1,8,4,0,4,1,0,1,0,0,0
NKG,9,0,8,3,0,2,1,0,0,1,0,0
VIC,9,5,2,5,3,0,2,1,0,1,0,0
C69,9,4,5,2,1,1,1,1,0,0,0,0
PC1,8,5,3,5,4,1,3,2,1,1,1,0
DBC,8,4,3,2,1,0,1,0,0,1,0,0
DXP,8,1,7,2,0,2,1,0,1,1,0,1
ABC,8,1,7,3,1,2,0,0,0,0,0,0
VIX,8,1,6,3,0,2,1,0,0,1,0,0
API,7,3,4,1,1,0,0,0,0,0,0,0
POW,7,4,2,3,1,1,1,0,0,1,0,0
SLS,7,0,6,2,0,1,1,0,1,0,0,0
MPC,7,3,4,2,2,0,0,0,0,0,0,0
MLS,7,1,6,0,0,0,0,0,0,0,0,0
VCB,7,0,6,1,0,0,1,0,0,0,0,0
IDV,7,1,6,2,0,2,0,0,0,0,0,0
SD9,7,1,5,2,0,2,1,0,1,0,0,0
VCI,7,4,2,3,2,0,3,2,0,1,0,0
GEX,7,2,4,2,0,1,1,0,0,1,0,0
TTH,6,1,5,3,1,2,2,0,2,0,0,0
MML,6,1,5,2,0,2,1,0,1,1,0,1
LAS,6,2,4,3,1,2,2,1,1,0,0,0
GAS,6,0,5,5,0,4,2,0,1,1,0,0
DGC,6,1,4,2,0,1,1,0,0,1,0,0
VC3,6,3,3,0,0,0,0,0,0,0,0,0
PSD,6,1,4,2,0,2,0,0,0,0,0,0
ART,6,5,0,3,2,0,2,1,0,2,1,0
DNM,6,2,4,1,0,1,1,0,1,0,0,0
INN,5,1,4,1,0,1,0,0,0,0,0,0
DRC,5,3,1,1,0,0,1,0,0,1,0,0
FOC,5,0,5,1,0,1,1,0,1,0,0,0
MFS,5,1,3,2,1,1,1,0,1,0,0,0
EIB,5,0,3,2,0,1,2,0,1,1,0,0
PVT,5,3,1,1,0,0,1,0,0,1,0,0
VJC,5,1,3,2,0,1,1,0,0,1,0,0
DXG,5,2,2,1,0,0,1,0,0,1,0,0
GKM,5,2,3,2,1,1,0,0,0,0,0,0
SCS,5,1,2,2,0,0,1,0,0,0,0,0
HCM,5,1,3,2,0,1,1,0,0,1,0,0
ORS,5,2,3,3,1,2,2,1,1,0,0,0
FCN,5,0,4,1,0,0,1,0,0,0,0,0
PNJ,4,1,2,1,0,0,1,0,0,1,0,0
NBC,4,0,4,0,0,0,0,0,0,0,0,0
GTN,4,0,3,1,0,0,1,0,0,1,0,0
ABI,4,1,3,0,0,0,0,0,0,0,0,0
TDM,4,0,3,0,0,0,0,0,0,0,0,0
