Stock,Morning,Afternoon,Volume,Filtered
AFX,65500,73100,138600,True
M10,3400,4700,8100,True
LGL,2320,2730,5050,True
ITS,600,2000,2600,True
CET,2200,7100,9300,True
DDG,71400,75200,146600,True
NAG,3400,8300,11700,True
BIC,6030,7280,13310,True
LBM,80,1600,1680,True
PSD,29200,30200,59400,True
SAB,20130,30730,50860,True
VC3,86800,107100,193900,True
SGN,90,100,190,True
DHM,7200,9970,17170,True
DDN,11900,20100,32000,True
MLS,17800,20800,38600,True
TDN,44300,61900,106200,True
EIB,92870,146510,239380,True
SCD,0,310,310,True
KLB,44400,55700,100100,True
DHG,320,480,800,True
ITD,1440,1510,2950,True
VMC,7100,56800,63900,True
SD2,600,6000,6600,True
CTF,40,220,260,True
TVT,0,510,510,True
TTZ,9200,11200,20400,True
ABI,3900,5900,9800,True
PGI,30,50,80,True
HCC,9100,10800,19900,True
CLH,0,2000,2000,True
INN,2700,5600,8300,True
LCM,0,12420,12420,True
SPM,10,120,130,True
AMS,8800,27800,36600,True
CEN,5300,19900,25200,True
ILA,1000,42000,43000,True
PAC,1920,2830,4750,True
TCT,2480,5920,8400,True
PME,0,40,40,True
PXT,5650,310,5960,False
PVL,979400,197400,1176800,False
SJD,7240,1360,8600,False
PTS,22200,14100,36300,False
CLX,1300,100,1400,False
PNJ,61920,28260,90180,False
BSI,169710,11850,181560,False
EVG,79200,13030,92230,False
GVR,1080540,196790,1277330,False
SJS,24610,7450,32060,False
CNG,14220,2810,17030,False
KLF,8874700,2066800,10941500,False
DHA,3320,1010,4330,False
PDR,255530,115570,371100,False
ITQ,135900,3700,139600,False
CMX,29770,6900,36670,False
IMP,2920,780,3700,False
POM,13880,1520,15400,False
YEG,3410,680,4090,False
NDN,717600,190600,908200,False
PLC,401100,114200,515300,False
PMG,610,20,630,False
PAS,670200,569400,1239600,False
TLG,3700,1430,5130,False
TMT,90,0,90,False
SHI,125110,4000,129110,False
HPX,72970,4140,77110,False
TCH,816690,130020,946710,False
DSN,650,20,670,False
VNM,330380,82370,412750,False
ABC,28400,300,28700,False
TCM,35870,11870,47740,False
FIT,33980,22830,56810,False
ANV,28480,3480,31960,False
C69,267700,22900,290600,False
C4G,1075900,246500,1322400,False
VTB,7480,170,7650,False
TAR,292400,181700,474100,False
SRC,7330,1720,9050,False
SD9,9300,3500,12800,False
PTB,16990,6120,23110,False
ABS,3020,1910,4930,False
TTF,524280,114010,638290,False
DPR,1700,110,1810,False
CVT,950,680,1630,False
FIR,8360,2390,10750,False
C47,8900,290,9190,False
DHC,7550,4550,12100,False
DIG,655830,159890,815720,False
SJF,269180,33640,302820,False
TMS,1160,190,1350,False
DHT,7500,5600,13100,False
SHN,13400,6600,20000,False
L14,88700,36500,125200,False
ACV,138500,69100,207600,False
NHH,29680,6810,36490,False
EVE,1410,0,1410,False
PAN,146040,15820,161860,False
PVG,57300,14900,72200,False
PVP,470900,80500,551400,False
BFC,19300,2620,21920,False
LHG,18740,5470,24210,False
PXL,223800,55200,279000,False
RAL,3270,770,4040,False
MBS,1630800,453200,2084000,False
CMS,20500,18500,39000,False
TCB,2269690,470560,2740250,False
TYA,980,80,1060,False
SRA,382200,73100,455300,False
SFG,540,140,680,False
PVI,54600,19900,74500,False
CTI,36660,5920,42580,False
DPG,43380,6170,49550,False
DQC,3160,930,4090,False
VC9,8800,200,9000,False
ACC,3580,850,4430,False
HII,37320,2460,39780,False
TCL,15100,680,15780,False
HSG,1510250,178360,1688610,False
HRC,280,0,280,False
D2D,27520,4060,31580,False
SJE,2000,0,2000,False
ITC,18000,1280,19280,False
NKG,469450,47320,516770,False
FID,936700,135300,1072000,False
EVF,249700,155900,405600,False
PLP,41350,3020,44370,False
GTN,175910,42390,218300,False
ITA,1826490,247640,2074130,False
LIX,6030,990,7020,False
NSC,610,0,610,False
BDG,3500,2000,5500,False
CLL,20,10,30,False
TNI,173350,29810,203160,False
HPI,2000,2000,4000,False
DRL,850,220,1070,False
SPI,124200,92400,216600,False
BID,174600,26220,200820,False
