Stock,Gap,B,S
NVB,20,21,1
NHH,17,18,1
VPI,15,15,0
KDC,13,14,1
SZC,12,12,0
GIL,11,11,0
VPB,11,11,0
VCB,9,13,4
MWG,9,11,2
FIT,9,10,1
VNM,8,10,2
TIG,8,9,1
SAB,8,9,1
TID,8,8,0
SJD,8,8,0
SJS,8,8,0
VHM,7,10,3
S99,7,9,2
PTB,7,8,1
VHC,7,7,0
CNG,7,7,0
SHB,6,15,9
KOS,6,11,5
TIP,6,6,0
BVH,6,6,0
FRT,6,6,0
GTN,6,6,0
KLB,6,6,0
PLX,5,7,2
DGC,5,7,2
MBS,5,5,0
POM,5,5,0
NLG,5,5,0
DNM,4,6,2
VRE,4,6,2
LTG,4,5,1
REE,4,4,0
IBC,4,4,0
D2D,4,4,0
ILB,4,4,0
HAG,4,4,0
ART,3,9,6
LIX,3,4,1
IDJ,3,4,1
VSH,3,3,0
HTN,3,3,0
TLG,3,3,0
HT1,3,3,0
HAR,3,3,0
HPX,2,17,15
SHS,2,8,6
APH,2,6,4
HUT,2,5,3
HNG,2,4,2
TVC,2,4,2
HCM,2,4,2
AAA,2,3,1
ACM,2,3,1
PVI,2,3,1
DRI,2,3,1
DDG,2,3,1
DBC,2,3,1
APS,2,3,1
PHR,2,2,0
NTL,2,2,0
CKG,2,2,0
VDS,2,2,0
HHS,2,2,0
EVG,2,2,0
DHC,2,2,0
FID,2,2,0
DRH,2,2,0
IJC,2,2,0
PVS,1,12,11
CTR,1,10,9
NVL,1,9,8
TNG,1,6,5
CEO,1,4,3
TVN,1,4,3
ACV,1,4,3
ORS,1,4,3
PFL,1,2,1
DRC,1,2,1
HII,1,2,1
HTI,1,1,0
FLC,1,1,0
QBS,1,1,0
VCP,1,1,0
POW,1,1,0
HDA,1,1,0
CMG,1,1,0
TNI,1,1,0
SKG,1,1,0
ITD,1,1,0
C4G,1,1,0
HVN,1,1,0
KSB,1,1,0
NTC,0,11,11
VCI,0,6,6
VOC,0,5,5
HDC,0,5,5
SPI,0,5,5
MSR,0,5,5
MBB,0,4,4
DTD,0,3,3
LIG,0,3,3
VGS,0,3,3
BVS,0,3,3
OIL,0,2,2
