Stock,Gap,B,S
VPB,50,50,0
REE,50,50,0
DLG,50,50,0
FTM,50,50,0
HAP,50,50,0
JVC,46,48,2
TIP,46,48,2
TSC,46,48,2
KSB,46,48,2
TIG,41,46,5
FCN,38,44,6
KDC,38,44,6
SJS,38,44,6
ORS,37,44,7
SZC,36,43,7
FRT,36,43,7
VPI,36,43,7
PAS,35,43,8
VSH,34,42,8
HDC,34,42,8
CNG,34,42,8
S99,34,42,8
VHG,33,42,9
SBT,32,41,9
ABS,32,41,9
VIG,31,41,10
KLF,31,41,10
PTB,30,40,10
OGC,30,40,10
HAR,30,40,10
D2D,28,39,11
GTN,28,39,11
BSI,28,39,11
TVN,27,39,12
VGT,27,39,12
VDS,26,38,12
CTD,26,38,12
HII,26,38,12
SKG,26,38,12
TLD,26,38,12
BMI,26,38,12
TDC,24,37,13
SAM,24,37,13
DST,24,37,13
DPM,24,37,13
AMD,24,37,13
EVG,24,37,13
VGC,24,37,13
HT1,24,37,13
TID,23,37,14
ART,23,37,14
MPT,23,37,14
MBS,23,37,14
SJD,23,37,14
FID,23,37,14
TEG,22,36,14
HAI,22,36,14
CKG,22,36,14
TVC,22,36,14
MWG,22,36,14
PVD,22,36,14
KSH,21,36,15
KOS,21,36,15
ACM,21,36,15
IDJ,21,36,15
HTN,20,35,15
AAV,20,35,15
DGC,20,35,15
TTF,20,35,15
TTB,20,35,15
VHM,20,35,15
NHH,19,35,16
C4G,19,35,16
HUT,19,35,16
PPC,18,34,16
AGG,18,34,16
SHS,18,34,16
TCB,18,34,16
FIT,18,34,16
NTC,18,34,16
CDO,17,34,17
PVV,17,34,17
VOC,17,34,17
VGS,17,34,17
APH,16,33,17
HHS,16,33,17
PLX,16,33,17
TVB,16,33,17
CTG,16,33,17
PAN,16,33,17
VCB,16,33,17
PWA,15,33,18
TDM,15,33,18
HOM,15,33,18
GIL,14,32,18
VHE,14,32,18
TPB,14,32,18
AGR,14,32,18
HSL,14,32,18
DGW,14,32,18
LSS,14,32,18
TGG,14,32,18
VNP,13,32,19
DNM,13,23,10
KHP,12,31,19
HCD,12,31,19
TNT,12,31,19
TNI,12,31,19
ASM,12,31,19
VRC,12,31,19
SBS,11,31,20
BII,11,31,20
SHB,11,31,20
GKM,11,31,20
QBS,10,30,20
VIB,10,30,20
KVC,10,30,20
AAA,10,30,20
PVS,10,30,20
FIR,10,30,20
C47,10,30,20
POM,10,30,20
HPX,10,30,20
VRE,10,30,20
SAB,10,30,20
ABC,10,26,16
TDT,9,30,21
NVB,9,30,21
TTH,9,30,21
DRI,9,30,21
LTG,9,30,21
DTD,8,29,21
FLC,8,29,21
VTO,8,29,21
POW,8,29,21
VNG,8,29,21
DRC,8,29,21
LDG,8,29,21
VNM,8,29,21
VSC,8,29,21
BWE,8,29,21
ITD,8,23,15
TVD,8,19,11
DCL,7,29,22
VCS,7,29,22
G36,7,29,22
ILB,7,28,21
VIP,6,28,22
CII,6,28,22
NTL,6,28,22
VCG,6,28,22
ACL,6,28,22
CEO,5,28,23
SSN,5,28,23
TNG,5,28,23
CTR,5,28,23
NDN,5,28,23
TLG,5,28,23
SVN,5,28,23
BVS,5,28,23
NSH,5,27,22
IBC,5,24,19
VCP,5,18,13
LHG,4,27,23
HDB,4,27,23
DPG,4,27,23
DRH,4,27,23
GEG,4,27,23
VPH,4,27,23
DAH,4,27,23
VC3,4,21,17
TDN,4,18,14
DVN,3,27,24
VGI,3,27,24
PVB,3,27,24
OIL,3,27,24
AST,2,26,24
VOS,2,26,24
KBC,2,26,24
HID,2,26,24
SJF,2,26,24
HCM,2,26,24
PFL,1,26,25
BSR,1,26,25
VCR,1,26,25
KLB,1,26,25
PHR,0,25,25
VHC,0,25,25
PHC,0,25,25
ICT,0,25,25
HDG,0,25,25
ROS,0,25,25
PLP,0,25,25
