Stock,Morning,Afternoon,Volume,Filtered
JVC,0,5260,5260,True
VGC,0,12580,12580,True
STG,970,990,1960,True
STP,0,1100,1100,True
VHM,0,5370,5370,True
HUT,0,675000,675000,True
HT1,0,8440,8440,True
VRC,0,8710,8710,True
BCE,0,2920,2920,True
KDH,0,8770,8770,True
NLG,0,14850,14850,True
IDJ,0,133300,133300,True
BVS,0,94900,94900,True
IJC,0,39150,39150,True
EIB,1470,18910,20380,True
NTC,5600,16200,21800,True
BCG,0,21260,21260,True
QTP,140600,225500,366100,True
APS,0,181600,181600,True
VPI,0,1630,1630,True
MSR,0,133900,133900,True
HCM,0,6590,6590,True
HAR,0,14720,14720,True
MQN,0,100,100,True
HAP,1900,3990,5890,True
DAH,0,6030,6030,True
FOC,0,300,300,True
G36,0,170200,170200,True
NAF,4470,6760,11230,True
LTG,0,128900,128900,True
SAB,0,2360,2360,True
DBC,0,6970,6970,True
TDH,0,4330,4330,True
HLD,2800,73500,76300,True
STB,0,40380,40380,True
S99,0,112300,112300,True
FTM,1600,4900,6500,True
NT2,0,8280,8280,True
NVL,0,6780,6780,True
BOT,800,3200,4000,True
BWE,0,4390,4390,True
APG,0,5450,5450,True
TDM,0,6260,6260,True
DC4,330,1090,1420,True
HUB,560,600,1160,True
HVN,0,4390,4390,True
SVN,17400,26800,44200,True
HAG,0,20110,20110,True
OGC,0,3600,3600,True
VPH,3890,3900,7790,True
BCC,2500,229700,232200,True
DCL,0,10770,10770,True
TEG,0,360,360,True
TDC,0,11010,11010,True
CII,0,5010,5010,True
VPS,940,2160,3100,True
VPD,560,1020,1580,True
PET,0,6000,6000,True
PDR,0,17870,17870,True
BMC,0,6790,6790,True
LCG,0,18810,18810,True
NTL,0,6030,6030,True
RDP,620,1510,2130,True
ART,0,479300,479300,True
FLC,0,97660,97660,True
QBS,2450,6250,8700,True
FCM,0,20,20,True
DVN,5000,139600,144600,True
STK,1970,2290,4260,True
DAG,0,5860,5860,True
THT,119500,166400,285900,True
FTS,0,5260,5260,True
VPG,0,12110,12110,True
TDT,54500,66400,120900,True
CRC,1020,3170,4190,True
M10,1400,1500,2900,True
HAI,0,12970,12970,True
KSB,0,8370,8370,True
IDI,0,14040,14040,True
NBB,50,440,490,True
GIL,0,5060,5060,True
PHR,0,7320,7320,True
GEX,0,9500,9500,True
PPC,0,14000,14000,True
APH,0,6110,6110,True
MIG,1610,5900,7510,True
MHC,0,5900,5900,True
DCM,0,10980,10980,True
VHC,0,4310,4310,True
HAH,0,9990,9990,True
VIG,0,195100,195100,True
VIP,0,37840,37840,True
DXG,0,5850,5850,True
HNG,0,8150,8150,True
FCN,0,11420,11420,True
SZC,0,5070,5070,True
STH,0,38100,38100,True
QNS,37800,40900,78700,True
GEG,0,5630,5630,True
VRE,0,4630,4630,True
KHP,3300,3580,6880,True
L14,16600,30600,47200,True
DIG,0,9250,9250,True
SJF,0,8560,8560,True
DHT,1500,6200,7700,True
C47,2120,4000,6120,True
TTF,0,30220,30220,True
CVT,250,910,1160,True
FIR,40,3470,3510,True
TYA,570,660,1230,True
ACV,0,35400,35400,True
SRA,62700,92000,154700,True
CLL,0,60,60,True
TNI,0,5360,5360,True
ITA,0,28150,28150,True
LIX,1200,2530,3730,True
GTN,0,11840,11840,True
YEG,690,750,1440,True
NDN,0,94300,94300,True
IMP,490,570,1060,True
BID,0,6020,6020,True
PXS,750,6960,7710,True
NRC,25500,40800,66300,True
DHC,0,7210,7210,True
PTB,0,8720,8720,True
MCH,21600,34100,55700,True
NHH,0,4170,4170,True
PLP,1830,7030,8860,True
NKG,0,23180,23180,True
PVI,8600,17000,25600,True
TMP,0,20,20,True
TCL,470,1200,1670,True
HSG,0,27920,27920,True
D2D,0,1800,1800,True
HII,0,11020,11020,True
CTI,0,8510,8510,True
DPG,0,5050,5050,True
TAR,0,49500,49500,True
TCM,0,2400,2400,True
SD9,1700,4700,6400,True
SJS,0,5150,5150,True
CNG,1590,3360,4950,True
CLX,1100,2000,3100,True
KLF,0,2331100,2331100,True
GVR,0,9250,9250,True
BIC,0,3270,3270,True
EVG,0,18210,18210,True
INN,500,1300,1800,True
SKG,0,3140,3140,True
DRH,0,10550,10550,True
SMC,0,4110,4110,True
VNM,0,8160,8160,True
HPX,0,20620,20620,True
TCH,0,9380,9380,True
PAS,0,498100,498100,True
PLC,0,74900,74900,True
GKM,1900,109500,111400,True
PGC,1010,1200,2210,True
KSQ,100800,170000,270800,True
LCM,0,2380,2380,True
BMI,0,3480,3480,True
CIA,0,2700,2700,True
ASM,0,6330,6330,True
HVH,1190,5060,6250,True
TGG,0,26670,26670,True
SAV,3280,3730,7010,True
TS4,10,510,520,True
OIL,0,102200,102200,True
ADS,350,1480,1830,True
TSC,0,19770,19770,True
VJC,0,1520,1520,True
VIX,0,23800,23800,True
C32,1030,2100,3130,True
DDG,6800,62900,69700,True
DSN,520,1720,2240,True
MTA,11000,16000,27000,True
ABC,3300,19700,23000,True
VCI,0,8390,8390,True
TTB,0,14890,14890,True
DRI,0,100700,100700,True
SGR,2010,2800,4810,True
TLD,0,3170,3170,True
DHG,310,470,780,True
FPT,0,5290,5290,True
ITS,0,1500,1500,True
ITD,930,1200,2130,True
LSS,0,19940,19940,True
ILB,1320,5640,6960,True
BSI,0,7850,7850,True
PNJ,0,4220,4220,True
PVL,129100,233600,362700,True
KLB,14800,16600,31400,True
VTB,1750,2140,3890,True
CMX,0,4780,4780,True
C69,0,57800,57800,True
C4G,47800,69600,117400,True
FIT,0,8090,8090,True
ANV,160,2230,2390,True
TIG,0,306200,306200,True
EVF,94500,96200,190700,True
LGL,380,9790,10170,True
HDG,0,4970,4970,True
TNG,0,293700,293700,True
TCR,1360,1590,2950,True
DST,0,242400,242400,True
AMV,0,91500,91500,True
TV2,900,3550,4450,True
VOS,0,8250,8250,True
HHS,0,39270,39270,True
GAS,0,1620,1620,True
PAN,0,10780,10780,True
TTZ,1100,29700,30800,True
PVP,0,89100,89100,True
MBB,0,16710,16710,True
LHG,0,3880,3880,True
BFC,970,6230,7200,True
SHS,0,429700,429700,True
BSR,0,259100,259100,True
