Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
SHB,889,476,408,447,237,207,294,155,137,188,103,83
PVS,346,209,131,171,109,57,130,86,40,51,35,13
SHS,343,187,151,207,108,96,131,74,54,58,34,22
TNG,229,134,95,105,62,43,70,45,25,33,21,12
CTR,201,96,105,127,56,71,94,41,53,35,17,18
IDC,197,87,109,85,45,39,67,36,31,29,15,14
BSR,171,94,76,85,43,41,60,30,29,26,14,12
ART,168,129,38,105,77,27,66,52,14,17,14,3
HPG,140,74,64,25,15,8,11,5,4,4,1,1
NVB,118,101,17,77,73,4,61,60,1,33,33,0
KBC,108,69,37,34,23,10,17,14,2,4,3,0
HUT,94,47,46,65,37,27,45,25,19,28,18,10
CEO,88,54,33,41,24,16,30,16,13,11,5,6
MBS,80,54,26,30,20,10,19,13,6,8,5,3
VCS,71,37,33,26,15,10,14,7,6,6,4,1
TCB,67,32,33,9,4,3,6,2,2,3,1,0
PAS,65,40,25,24,12,12,8,5,3,1,1,0
VIG,57,42,15,23,18,5,18,13,5,7,5,2
KLF,57,31,26,32,21,11,20,11,9,12,7,5
VHM,57,39,17,23,18,4,11,8,2,2,0,1
NTC,56,28,28,31,14,17,18,8,10,11,4,7
BVS,55,25,30,18,6,12,12,4,8,6,3,3
G36,50,34,16,19,14,5,9,7,2,5,4,1
MWG,50,29,19,10,5,3,6,2,2,2,0,0
NDN,45,23,22,14,7,7,9,4,5,2,2,0
MSR,42,21,20,9,6,3,7,4,3,3,2,1
MBG,42,28,13,12,6,6,3,3,0,3,3,0
FLC,39,12,25,22,2,18,9,0,7,1,0,0
TIG,38,19,18,19,13,5,9,4,4,1,1,0
HSG,37,13,23,12,0,11,2,0,1,1,0,0
MBB,35,24,9,7,1,4,4,0,2,2,0,0
PLC,34,24,10,8,7,1,1,1,0,0,0,0
VNM,32,22,9,7,5,1,1,0,0,1,0,0
NRC,32,26,6,15,13,2,2,2,0,0,0,0
ACV,32,20,12,12,6,6,9,4,5,5,3,2
AAS,29,19,10,8,7,1,4,3,1,3,2,1
NVL,29,24,3,12,10,0,5,3,0,4,2,0
TVC,28,16,11,11,7,4,7,6,1,6,6,0
AAV,25,12,13,3,1,2,0,0,0,0,0,0
OIL,25,7,18,8,2,6,3,0,3,1,0,1
STB,25,9,14,6,1,3,4,0,2,3,0,1
SCI,23,13,10,11,6,5,4,2,2,0,0,0
IDJ,23,12,11,6,3,3,1,0,1,1,0,1
DVN,23,8,15,7,2,5,3,1,2,0,0,0
DST,22,8,13,9,1,7,4,0,4,3,0,3
DIG,22,7,14,2,0,1,1,0,0,1,0,0
QNS,22,15,7,2,1,1,2,1,1,0,0,0
GVR,22,15,6,5,4,0,3,3,0,0,0,0
VRE,22,11,10,7,3,3,2,0,1,1,0,0
TAR,20,9,10,9,5,3,6,2,3,0,0,0
C4G,20,12,7,10,6,3,5,3,1,2,2,0
QTP,20,11,9,8,5,3,4,2,2,0,0,0
DTD,19,15,4,8,5,3,2,1,1,0,0,0
APS,19,15,3,7,5,2,4,3,1,0,0,0
SSI,19,7,10,4,0,2,1,0,0,1,0,0
AMV,19,13,6,4,2,2,3,2,1,1,1,0
L14,19,8,10,9,4,5,3,1,2,1,0,1
GKM,17,6,11,2,1,1,1,1,0,0,0,0
VPB,17,9,6,3,1,0,2,0,0,2,0,0
CTG,17,7,8,4,1,1,4,1,1,2,0,0
VIC,16,7,8,8,2,5,3,2,1,1,1,0
LTG,16,8,8,3,1,2,0,0,0,0,0,0
LIG,16,4,12,5,0,5,3,0,3,1,0,1
PVB,14,10,4,0,0,0,0,0,0,0,0,0
FPT,14,9,4,4,3,0,2,1,0,1,0,0
PVP,13,7,6,2,0,2,0,0,0,0,0,0
BII,13,8,5,5,4,1,3,2,1,1,1,0
BCC,11,7,4,1,0,1,0,0,0,0,0,0
TDT,10,4,6,5,3,2,4,3,1,3,2,1
ADG,10,4,6,3,1,2,0,0,0,0,0,0
VCI,10,6,3,3,2,0,1,0,0,1,0,0
MSN,10,4,4,2,0,0,2,0,0,2,0,0
ORS,10,8,2,7,7,0,6,6,0,0,0,0
API,9,1,8,4,0,4,3,0,3,0,0,0
KVC,9,8,1,5,5,0,3,3,0,1,1,0
KLB,8,5,3,1,1,0,0,0,0,0,0,0
DNM,8,0,8,3,0,3,1,0,1,1,0,1
VGS,8,5,3,3,2,1,1,1,0,1,1,0
HLD,8,7,1,6,6,0,4,4,0,2,2,0
ASM,8,5,2,2,0,1,1,0,0,1,0,0
S99,8,5,3,2,0,2,1,0,1,0,0,0
TPB,7,2,3,2,0,0,2,0,0,1,0,0
KSH,7,4,3,3,1,2,2,1,1,0,0,0
DXP,7,5,2,1,0,1,0,0,0,0,0,0
HBC,7,3,3,1,0,0,1,0,0,1,0,0
PXL,7,3,4,1,0,1,0,0,0,0,0,0
NLG,6,3,1,3,1,0,2,0,0,1,0,0
TCW,6,1,4,1,0,1,1,0,1,0,0,0
PC1,6,4,0,6,4,0,3,2,0,3,2,0
TCH,6,4,1,2,1,0,1,0,0,1,0,0
PVD,6,3,2,2,1,0,2,1,0,1,0,0
GMD,6,2,2,3,0,1,2,0,0,2,0,0
MPT,5,3,2,2,2,0,0,0,0,0,0,0
PWA,5,2,3,0,0,0,0,0,0,0,0,0
POW,5,0,3,2,0,1,1,0,0,1,0,0
PVI,5,4,1,2,2,0,1,1,0,0,0,0
HNG,5,1,3,2,1,0,2,1,0,2,1,0
PHR,5,2,1,3,0,1,1,0,0,1,0,0
CRE,5,3,1,3,2,0,2,1,0,1,0,0
C69,5,2,3,3,2,1,2,2,0,1,1,0
LHC,5,5,0,2,2,0,0,0,0,0,0,0
VCB,5,3,0,3,1,0,2,0,0,2,0,0
GEX,4,1,1,1,0,0,1,0,0,1,0,0
SBT,4,1,2,1,0,0,1,0,0,1,0,0
VC3,4,4,0,0,0,0,0,0,0,0,0,0
MCH,4,2,2,3,2,1,1,1,0,0,0,0
DBC,4,2,1,1,0,0,1,0,0,1,0,0
BID,4,0,3,1,0,0,1,0,0,1,0,0
TTH,4,2,2,1,0,1,1,0,1,0,0,0
DXG,4,2,1,2,1,0,2,1,0,1,0,0
HND,4,1,3,0,0,0,0,0,0,0,0,0
VGC,4,3,1,0,0,0,0,0,0,0,0,0
BOT,4,0,3,2,0,1,2,0,1,2,0,1
HAG,4,3,0,1,0,0,1,0,0,1,0,0
PNJ,4,1,1,1,0,0,1,0,0,1,0,0
SLS,4,3,1,0,0,0,0,0,0,0,0,0
PVL,4,3,1,0,0,0,0,0,0,0,0,0
PVT,4,3,0,1,0,0,1,0,0,1,0,0
CAP,3,1,2,1,0,1,0,0,0,0,0,0
PLX,3,0,1,1,0,1,0,0,0,0,0,0
HHG,3,1,1,0,0,0,0,0,0,0,0,0
PVC,3,3,0,0,0,0,0,0,0,0,0,0
MLS,3,2,1,0,0,0,0,0,0,0,0,0
FID,3,1,2,1,1,0,1,1,0,1,1,0
EVF,3,0,3,1,0,1,0,0,0,0,0,0
MFS,3,2,1,2,2,0,1,1,0,0,0,0
NTP,3,2,1,1,1,0,1,1,0,0,0,0
NKG,3,1,1,2,0,1,1,0,0,1,0,0
MST,3,1,2,1,0,1,0,0,0,0,0,0
BVH,3,1,1,1,0,0,1,0,0,0,0,0
AGG,3,1,1,1,0,0,1,0,0,0,0,0
HVN,3,1,1,1,0,0,0,0,0,0,0,0
AFX,3,2,1,0,0,0,0,0,0,0,0,0
ITA,3,1,1,2,1,0,1,0,0,1,0,0
PGS,3,3,0,1,1,0,0,0,0,0,0,0
HDG,2,1,0,1,0,0,1,0,0,0,0,0
SRA,2,1,1,1,0,1,1,0,1,0,0,0
VJC,2,0,0,2,0,0,2,0,0,1,0,0
GAS,2,0,0,1,0,0,1,0,0,1,0,0
