Stock,Gap,B,S
ART,88,126,38
NVB,83,100,17
PVS,79,211,132
SHB,68,491,423
KBC,37,75,38
TNG,36,131,95
SHS,33,191,158
VIG,27,41,14
MBS,26,55,29
VHM,23,40,17
NRC,23,29,6
BSR,21,99,78
NVL,21,24,3
CEO,20,55,35
PAS,17,42,25
G36,16,35,19
VNM,16,27,11
MBG,15,28,13
PLC,15,25,10
APS,15,18,3
MBB,14,24,10
MWG,11,32,21
AAS,11,22,11
DTD,11,15,4
HPG,10,75,65
GVR,9,15,6
ACV,8,20,12
TVC,8,19,11
QNS,8,15,7
KVC,7,8,1
PVB,6,10,4
ORS,6,8,2
HLD,6,7,1
AMV,5,13,8
C4G,5,12,7
BII,5,10,5
FPT,5,9,4
S99,5,8,3
LHC,5,5,0
PC1,5,5,0
VCS,4,37,33
KLF,4,30,26
VCI,4,7,3
VC3,4,4,0
NDN,3,29,26
TIG,3,21,18
SCI,3,13,10
VPB,3,9,6
ASM,3,5,2
PVI,3,4,1
TCH,3,4,1
TDP,3,3,0
PVT,3,3,0
PVC,3,3,0
HAG,3,3,0
PGS,3,3,0
QTP,2,11,9
BCC,2,7,5
DXP,2,5,3
KLB,2,5,3
VGS,2,5,3
PHR,2,3,1
CRE,2,3,1
PVL,2,3,1
MLS,2,3,1
SLS,2,3,1
VGC,2,3,1
NLG,2,3,1
HHP,2,2,0
VCB,2,2,0
SHI,2,2,0
HUT,1,48,47
MSR,1,22,21
IDJ,1,12,11
PVP,1,7,6
HBC,1,4,3
MPT,1,3,2
PVD,1,3,2
MCH,1,3,2
DXG,1,2,1
DBC,1,2,1
AFX,1,2,1
PSD,1,2,1
NTP,1,2,1
MFS,1,2,1
GEX,1,1,0
MML,1,1,0
HDG,1,1,0
ATB,1,1,0
DGC,1,1,0
CTD,1,1,0
AMS,1,1,0
DRC,1,1,0
ABI,1,1,0
SPI,1,1,0
GTN,1,1,0
DDG,1,1,0
MTA,1,1,0
LAS,1,1,0
FOC,1,1,0
VRE,0,11,11
LTG,0,8,8
MSN,0,4,4
KSH,0,4,4
GMD,0,2,2
TTH,0,2,2
BVH,0,1,1
PGN,0,1,1
SWC,0,1,1
AGG,0,1,1
HHG,0,1,1
PVV,0,1,1
SRA,0,1,1
ITA,0,1,1
NKG,0,1,1
PNJ,0,1,1
BSI,0,1,1
DRI,0,1,1
IJC,0,1,1
HVN,0,1,1
PDR,0,0,0
PGI,0,0,0
LCG,0,0,0
BMC,0,0,0
RDP,0,0,0
NTL,0,0,0
ASP,0,0,0
ASG,0,0,0
HCC,0,0,0
VIS,0,0,0
FOX,0,0,0
FCM,0,0,0
QBS,0,0,0
STK,0,0,0
DAG,0,0,0
FTS,0,0,0
THT,0,0,0
KHP,0,0,0
NNC,0,0,0
YBM,0,0,0
PHP,0,0,0
GIL,0,0,0
NBB,0,0,0
WCS,0,0,0
PPC,0,0,0
RIC,0,0,0
VSI,0,0,0
APH,0,0,0
DCM,0,0,0
MHC,0,0,0
CDO,0,0,0
MIG,0,0,0
HTI,0,0,0
VIP,0,0,0
HAH,0,0,0
VHC,0,0,0
JVC,0,0,0
SZB,0,0,0
SZC,0,0,0
FCN,0,0,0
CRC,0,0,0
HAI,0,0,0
STH,0,0,0
TDC,0,0,0
TEG,0,0,0
DCL,0,0,0
VPD,0,0,0
VPS,0,0,0
VSH,0,0,0
LM8,0,0,0
PET,0,0,0
BTT,0,0,0
NCT,0,0,0
IDV,0,0,0
BTP,0,0,0
KDC,0,0,0
REE,0,0,0
DLG,0,0,0
DMC,0,0,0
HTL,0,0,0
SBA,0,0,0
TDG,0,0,0
CEN,0,0,0
SCR,0,0,0
SBV,0,0,0
SAM,0,0,0
DTA,0,0,0
CSC,0,0,0
QCG,0,0,0
AGR,0,0,0
VDS,0,0,0
HCD,0,0,0
VIT,0,0,0
HTM,0,0,0
SCD,0,0,0
NVT,0,0,0
BTD,0,0,0
PHC,0,0,0
BTS,0,0,0
BCM,0,0,0
THG,0,0,0
TDS,0,0,0
DAT,0,0,0
QNC,0,0,0
VHE,0,0,0
HAN,0,0,0
AGP,0,0,0
MPC,0,0,0
HAX,0,0,0
CSV,0,0,0
FMC,0,0,0
HTN,0,0,0
AST,0,0,0
CKG,0,0,0
PSH,0,0,0
BMP,0,0,0
NHA,0,0,0
LGL,0,0,0
SHP,0,0,0
TNA,0,0,0
SD2,0,0,0
AAA,0,0,0
TXM,0,0,0
DPM,0,0,0
HSL,0,0,0
TBC,0,0,0
TA9,0,0,0
TLH,0,0,0
UDC,0,0,0
PXI,0,0,0
ELC,0,0,0
ICT,0,0,0
GAS,0,0,0
NSH,0,0,0
MCG,0,0,0
TCR,0,0,0
VOS,0,0,0
TVS,0,0,0
TV2,0,0,0
SSN,0,0,0
TVD,0,0,0
HHS,0,0,0
VCF,0,0,0
TTZ,0,0,0
TCD,0,0,0
CAV,0,0,0
SHE,0,0,0
TNT,0,0,0
VTO,0,0,0
BHN,0,0,0
UIC,0,0,0
SHA,0,0,0
TN1,0,0,0
HQC,0,0,0
SGN,0,0,0
AMD,0,0,0
VNE,0,0,0
CTS,0,0,0
HDB,0,0,0
HID,0,0,0
HDC,0,0,0
VND,0,0,0
SD5,0,0,0
DDN,0,0,0
CCL,0,0,0
DHM,0,0,0
CMG,0,0,0
CLC,0,0,0
LDG,0,0,0
ROS,0,0,0
PTL,0,0,0
LEC,0,0,0
IBC,0,0,0
GMC,0,0,0
GAB,0,0,0
KOS,0,0,0
FRT,0,0,0
