Stock,Morning,Afternoon,Volume,Filtered
YBM,2180,3120,5300,True
QTP,277800,1314500,1592300,True
STP,0,100,100,True
DDN,8100,34600,42700,True
PGS,38400,66200,104600,True
CLC,640,1630,2270,True
LM7,0,200,200,True
SJE,11800,39100,50900,True
VPD,340,1180,1520,True
HAD,0,9500,9500,True
VKC,44700,65700,110400,True
TEG,6930,10100,17030,True
PVI,57700,68300,126000,True
ILA,36700,49200,85900,True
SMB,2050,2130,4180,True
CDC,1090,4250,5340,True
M10,11600,19100,30700,True
SZB,60200,225800,286000,True
TMT,2440,4340,6780,True
TLG,11180,13620,24800,True
TVD,61100,96200,157300,True
LBM,3150,4100,7250,True
LCM,0,1970,1970,True
MLS,45200,55700,100900,True
NAG,8900,13900,22800,True
VIT,100,6600,6700,True
RDP,1620,2010,3630,True
PGI,820,6060,6880,True
TRA,700,3620,4320,True
SZL,5490,6000,11490,True
ABI,12400,23400,35800,True
CAP,14600,29600,44200,True
TMS,6850,7120,13970,True
PAC,1550,8060,9610,True
DHT,21000,22700,43700,True
HPI,4100,4400,8500,True
CLL,570,800,1370,True
ACV,201400,375900,577300,True
DS3,106600,139500,246100,True
PC1,59040,146630,205670,True
UIC,790,2180,2970,True
BDG,2100,21600,23700,True
FOC,7600,9900,17500,True
DVN,327700,395600,723300,True
DZM,53400,163800,217200,True
SJD,12120,20420,32540,True
CLX,2700,12100,14800,True
DHA,7110,9660,16770,True
HUB,2060,2600,4660,True
CEE,50,170,220,True
TAR,850900,913000,1763900,True
HCC,7900,33900,41800,True
FOX,300,30900,31200,True
CIA,9900,15100,25000,True
VSI,120,530,650,True
TAC,1880,4750,6630,True
DMC,8240,11630,19870,True
NVB,916200,5582900,6499100,True
BMP,24380,34190,58570,True
LTG,353400,746700,1100100,True
ADG,61500,90200,151700,True
MCH,22900,55400,78300,True
AFX,404900,457900,862800,True
VMC,32300,140100,172400,True
ORS,123100,132500,255600,True
SPM,650,710,1360,True
IMP,5690,7200,12890,True
PME,0,220,220,True
TDS,600,12300,12900,True
TA9,5700,97800,103500,True
TBC,2520,5040,7560,True
TXM,0,1500,1500,True
HAN,81600,88400,170000,True
SWC,144500,169600,314100,True
ITS,4000,6300,10300,True
ABS,10450,11350,21800,True
MML,33900,43100,77000,True
SBA,2730,22520,25250,True
PTS,0,3800,3800,True
KLB,77900,412100,490000,True
CAV,170,550,720,True
SCD,80,510,590,True
HTL,750,2900,3650,True
