Stock,Gap,B,S
ROS,2951,4094,1143
VRE,1632,1801,169
ITA,1117,1508,391
VND,1042,2122,1080
LDG,762,1338,576
HBC,717,1515,798
SSI,685,2917,2232
SHB,565,1968,1403
FRT,492,492,0
FLC,470,2582,2112
HQC,458,1239,781
DLG,458,849,391
DIG,368,476,108
PDR,349,918,569
TTF,330,677,347
VCI,321,465,144
TCM,307,366,59
MBS,294,360,66
AGR,281,281,0
ASM,277,277,0
HHS,275,650,375
PAN,264,269,5
KBC,250,250,0
GVR,244,244,0
KLF,234,309,75
SBT,232,590,358
TDC,220,270,50
CEO,210,484,274
CTS,207,211,4
DRH,205,236,31
HAH,196,337,141
TNG,191,196,5
NVL,187,1577,1390
HAI,172,408,236
BCG,169,234,65
POW,166,1697,1531
SJF,163,221,58
OIL,162,366,204
BVS,156,198,42
CRE,152,355,203
DXG,146,1653,1507
PVT,144,1049,905
VIX,144,241,97
GEG,138,371,233
ACM,137,142,5
TTB,136,185,49
LCG,134,624,490
VIP,125,181,56
PLP,121,179,58
TNA,111,211,100
BSI,111,111,0
APG,102,343,241
MBG,95,244,149
VDS,94,94,0
LSS,94,94,0
VOS,91,91,0
GMD,89,763,674
ART,87,87,0
BII,85,148,63
PHR,81,372,291
IJC,79,79,0
MHC,78,86,8
AMV,71,284,213
G36,70,102,32
DST,69,75,6
VIG,69,69,0
KDC,65,301,236
VCS,62,230,168
NHH,60,87,27
HCM,58,1159,1101
VTO,57,70,13
VHE,57,68,11
MSR,55,297,242
KDH,54,426,372
CTR,52,289,237
TLH,50,108,58
CSM,50,84,34
TDT,47,51,4
APS,44,98,54
BSR,43,720,677
GIL,43,208,165
VRC,42,42,0
CTF,41,42,1
FIT,41,41,0
IDI,40,397,357
NHA,40,108,68
KLB,40,75,35
MPT,40,52,12
PPC,39,320,281
ABS,39,126,87
PXS,38,97,59
FID,38,58,20
DRC,37,659,622
C4G,35,171,136
PVL,32,38,6
CVN,31,78,47
YBM,30,35,5
HAR,28,112,84
EVG,28,28,0
KSH,27,85,58
KVC,26,47,21
SD6,25,37,12
ATB,23,23,0
PXT,22,32,10
MCG,22,31,9
AAS,21,272,251
TIG,21,192,171
HTN,20,103,83
HHG,20,20,0
MST,18,78,60
NSH,17,39,22
GMC,17,25,8
HOM,17,25,8
DDG,16,66,50
DTD,16,47,31
GKM,15,158,143
HDA,15,32,17
UDC,15,20,5
STH,14,28,14
DDN,14,27,13
DTA,14,15,1
TSC,13,139,126
APH,13,89,76
FIR,13,87,74
HLD,13,43,30
SRC,13,13,0
MFS,12,81,69
C69,12,50,38
PET,11,430,419
AMD,11,427,416
HAN,11,39,28
DC4,11,21,10
LCM,11,13,2
SAM,10,70,60
CVT,10,30,20
PGN,10,29,19
PHP,10,24,14
SDT,10,24,14
TNT,9,31,22
PME,9,9,0
NRC,8,72,64
API,8,36,28
SFI,8,18,10
IDJ,7,203,196
ADS,7,11,4
HPX,6,33,27
MTA,6,26,20
SPM,6,12,6
PWA,5,56,51
TDN,5,54,49
VNS,5,22,17
LEC,5,5,0
TXM,5,5,0
KSQ,4,6,2
FTM,3,97,94
LAS,3,70,67
PVV,3,54,51
HTM,3,31,28
VC3,3,23,20
HUB,3,18,15
SFG,3,15,12
TCD,3,11,8
TVT,3,4,1
CIG,3,3,0
AAV,2,78,76
SHA,2,54,52
CDO,2,28,26
CEE,2,5,3
EVF,1,99,98
SMC,1,89,88
L14,1,74,73
RIC,1,30,29
QNC,1,16,15
SVN,1,14,13
TA9,1,13,12
PTS,1,5,4
TMP,1,4,3
BOT,1,3,2
LLM,1,1,0
BCE,0,105,105
QBS,0,48,48
PVI,0,39,39
HTL,0,5,5
DAT,0,4,4
VC7,0,4,4
STP,0,0,0
LM7,0,0,0
BTS,-1,22,23
CEN,-1,10,11
VIS,-1,6,7
PMG,-1,4,5
HRC,-1,3,4
GAB,-1,2,3
VCF,-1,0,1
PSH,-2,59,61
BMC,-2,42,44
TEG,-2,40,42
NBC,-2,30,32
PHC,-2,21,23
CET,-2,3,5
ITS,-2,1,3
ABC,-3,56,59
CIA,-3,9,12
TCR,-3,7,10
VC9,-3,7,10
AMS,-3,6,9
DRL,-3,6,9
MQN,-3,2,5
HAD,-3,1,4
VIT,-3,0,3
LGL,-4,18,22
EID,-4,18,22
TTZ,-4,17,21
BTD,-4,12,16
FOX,-4,7,11
SJE,-4,6,10
SHP,-4,5,9
SD2,-4,4,8
CLX,-4,4,8
NBB,-4,2,6
ADG,-5,77,82
S99,-5,58,63
PXL,-5,53,58
LIG,-5,51,56
NSC,-5,46,51
LHC,-5,7,12
HAT,-5,1,6
PVC,-6,115,121
VGS,-6,64,70
DS3,-6,34,40
CSC,-6,13,19
RDP,-6,13,19
BVG,-6,12,18
AGP,-6,11,17
SHN,-6,10,16
NAG,-6,6,12
VSI,-6,4,10
CLH,-6,2,8
HPI,-6,1,7
TN1,-6,0,6
SD9,-7,20,27
CLC,-7,11,18
VPD,-7,2,9
BTT,-7,0,7
LM8,-7,0,7
SRA,-8,97,105
RAL,-8,64,72
VKC,-8,15,23
PGS,-9,34,43
SBV,-9,24,33
EVE,-9,17,26
NVT,-9,7,16
POM,-10,56,66
SSN,-10,19,29
HCC,-10,12,22
TDS,-10,0,10
DZM,-11,23,34
ABI,-11,19,30
STG,-11,11,22
CAV,-11,9,20
SCI,-11,3,14
NDN,-12,149,161
THG,-12,61,73
PGD,-12,9,21
PGI,-12,7,19
BDG,-12,6,18
BHN,-12,3,15
SHE,-12,0,12
CAP,-13,18,31
VTB,-13,12,25
PTL,-13,9,22
PSD,-13,7,20
WCS,-13,3,16
QTP,-14,123,137
IBC,-14,35,49
FOC,-14,10,24
SMB,-14,6,20
SCD,-14,5,19
THT,-14,4,18
LBM,-15,15,30
TS4,-15,3,18
DBT,-15,1,16
HAP,-16,157,173
KMR,-16,35,51
ICT,-16,31,47
INN,-16,11,27
TDP,-16,7,23
CMS,-16,2,18
SPI,-17,21,38
SLS,-17,17,34
M10,-17,10,27
FCM,-18,19,37
ITQ,-18,18,36
DHT,-18,17,35
HDC,-19,292,311
DHM,-19,52,71
TMS,-19,44,63
MIG,-20,128,148
NTP,-20,49,69
CRC,-21,119,140
SZB,-21,44,65
ACC,-21,41,62
PVG,-21,20,41
SGR,-23,19,42
TMT,-23,14,37
CTP,-23,13,36
VMC,-23,11,34
ILA,-23,4,27
KHP,-24,98,122
ASP,-24,42,66
HTI,-24,24,48
AGM,-24,18,42
SD5,-24,8,32
PVB,-25,89,114
DVP,-25,87,112
CLL,-25,2,27
YEG,-26,101,127
NTC,-26,55,81
VPH,-26,31,57
TVB,-26,23,49
TCT,-26,15,41
VNG,-27,30,57
PGC,-27,28,55
BIC,-28,55,83
TCW,-28,33,61
GDT,-28,16,44
UIC,-28,14,42
ORS,-29,29,58
ITC,-29,18,47
CMG,-30,83,113
TRA,-30,19,49
PVP,-31,150,181
BAX,-31,8,39
PXI,-31,3,34
NAF,-32,58,90
CDC,-32,21,53
TVD,-32,5,37
AST,-33,51,84
HSL,-33,51,84
TAC,-33,27,60
ILB,-34,66,100
DQC,-34,51,85
SKG,-35,146,181
HND,-35,66,101
HII,-35,30,65
DMC,-36,82,118
DNM,-36,7,43
KOS,-37,54,91
MML,-38,22,60
TYA,-38,17,55
DHA,-39,78,117
TVS,-39,25,64
STK,-39,13,52
SBA,-40,19,59
ASG,-40,4,44
VPG,-41,186,227
BCC,-42,115,157
HHP,-43,35,78
TIP,-43,24,67
SJS,-44,207,251
PAC,-44,32,76
DBD,-45,34,79
NVB,-46,161,207
NTL,-47,234,281
ELC,-47,74,121
SZL,-47,38,85
PLC,-48,162,210
DHG,-48,51,99
MLS,-48,30,78
IDV,-49,10,59
TTH,-50,53,103
TAR,-51,221,272
SWC,-51,78,129
DPR,-51,25,76
APC,-51,20,71
VPS,-51,2,53
MCH,-52,14,66
VNE,-53,62,115
TLD,-54,139,193
DXP,-54,56,110
MPC,-55,55,110
JVC,-56,345,401
BMP,-57,218,275
AFX,-57,67,124
BTP,-57,40,97
DSN,-57,17,74
HUT,-58,306,364
SAV,-58,15,73
FTS,-59,166,225
SJD,-59,99,158
TDG,-60,103,163
HDG,-61,601,662
KSB,-61,393,454
ANV,-61,199,260
SCS,-61,72,133
ITD,-61,39,100
CHP,-61,10,71
HAX,-62,135,197
VSC,-62,87,149
HVH,-62,61,123
OGC,-65,161,226
CSV,-65,141,206
DVN,-65,131,196
HID,-65,83,148
ACL,-66,52,118
QCG,-67,141,208
TBC,-67,9,76
CTI,-69,111,180
D2D,-70,367,437
CNG,-71,40,111
DAG,-73,126,199
SGN,-75,19,94
DHC,-77,157,234
DRI,-77,73,150
VSH,-77,31,108
LTG,-78,170,248
PC1,-78,138,216
NNC,-79,57,136
CII,-80,416,496
C47,-80,20,100
NLG,-83,351,434
BFC,-83,104,187
PAS,-84,89,173
DGW,-86,288,374
DCL,-87,65,152
QNS,-89,45,134
SHI,-97,84,181
TDH,-99,463,562
ACV,-100,198,298
NCT,-103,37,140
TNI,-105,237,342
BCM,-107,256,363
TLG,-108,68,176
FMC,-113,88,201
HNG,-116,1009,1125
VGC,-118,263,381
DBC,-119,808,927
IMP,-120,56,176
TCL,-121,185,306
DPG,-121,171,292
AGG,-122,423,545
CCL,-122,114,236
LHG,-122,99,221
C32,-125,107,232
BID,-129,1300,1429
BMI,-130,171,301
TV2,-134,91,225
HSG,-136,1769,1905
LIX,-136,87,223
REE,-148,242,390
CMX,-148,136,284
EIB,-149,143,292
DCM,-179,535,714
DAH,-183,164,347
HCD,-183,66,249
PTB,-185,104,289
VJC,-187,132,319
TDM,-200,166,366
VPI,-204,175,379
SCR,-208,428,636
BWE,-212,246,458
VHC,-217,629,846
TGG,-217,258,475
BVH,-231,510,741
SAB,-232,235,467
FCN,-250,343,593
TVC,-255,78,333
SZC,-262,834,1096
HT1,-275,315,590
