Stock,Gap,B,S
TNG,24,25,1
SSI,21,39,18
CEO,20,52,32
BVS,20,26,6
KLB,19,20,1
MBS,18,27,9
KLF,14,29,15
VRE,11,11,0
TCM,10,11,1
VND,9,15,6
VPI,8,8,0
PHR,5,10,5
HDG,5,8,3
ART,5,5,0
APS,4,7,3
TDP,4,4,0
HPX,4,4,0
VIC,3,5,2
G36,2,8,6
PC1,2,5,3
CTD,2,5,3
PVD,2,5,3
TCH,2,5,3
POW,2,4,2
VCI,2,4,2
DRC,2,3,1
PVT,2,3,1
DDG,2,3,1
PGS,2,3,1
MPT,2,2,0
BMP,2,2,0
ROS,2,2,0
DST,2,2,0
LHC,2,2,0
NHH,2,2,0
NLG,2,2,0
KDH,2,2,0
BOT,2,2,0
TAR,1,30,29
BII,1,8,7
HBC,1,5,4
FLC,1,5,4
DBC,1,4,3
LCG,1,2,1
TDN,1,2,1
CSV,1,1,0
REE,1,1,0
PGN,1,1,0
PPC,1,1,0
VHC,1,1,0
SZC,1,1,0
DZM,1,1,0
PHP,1,1,0
SD6,1,1,0
SDT,1,1,0
IBC,1,1,0
GMD,1,1,0
TCL,1,1,0
SPI,1,1,0
VNM,0,12,12
DHC,0,5,5
VC3,0,3,3
HAN,0,2,2
DXG,0,2,2
SJE,0,2,2
PVV,0,1,1
VMC,0,1,1
BDG,0,1,1
BCM,0,0,0
LLM,0,0,0
BTS,0,0,0
PHC,0,0,0
BTD,0,0,0
VHE,0,0,0
QNC,0,0,0
AGP,0,0,0
AGG,0,0,0
THG,0,0,0
DAT,0,0,0
TDS,0,0,0
HTN,0,0,0
SBT,0,0,0
CKG,0,0,0
AST,0,0,0
FMC,0,0,0
HAX,0,0,0
PSH,0,0,0
KDC,0,0,0
BTP,0,0,0
NCT,0,0,0
CSC,0,0,0
DTA,0,0,0
QCG,0,0,0
DMC,0,0,0
DLG,0,0,0
SAM,0,0,0
SBV,0,0,0
SCR,0,0,0
CEN,0,0,0
TDG,0,0,0
HTL,0,0,0
SBA,0,0,0
SCD,0,0,0
AGR,0,0,0
VDS,0,0,0
VIT,0,0,0
HCD,0,0,0
NVT,0,0,0
RIC,0,0,0
NBB,0,0,0
HAH,0,0,0
VIG,0,0,0
VIP,0,0,0
JVC,0,0,0
VSI,0,0,0
APH,0,0,0
HTI,0,0,0
MIG,0,0,0
CDO,0,0,0
MHC,0,0,0
DCL,0,0,0
TEG,0,0,0
TDC,0,0,0
VSH,0,0,0
VPS,0,0,0
VPD,0,0,0
STH,0,0,0
HAI,0,0,0
CRC,0,0,0
PET,0,0,0
BTT,0,0,0
LM8,0,0,0
BMC,0,0,0
NTL,0,0,0
RDP,0,0,0
PGI,0,0,0
VIS,0,0,0
HCC,0,0,0
ASG,0,0,0
ASP,0,0,0
DAG,0,0,0
THT,0,0,0
FTS,0,0,0
TIP,0,0,0
VPG,0,0,0
QBS,0,0,0
FCM,0,0,0
STK,0,0,0
NNC,0,0,0
YBM,0,0,0
KHP,0,0,0
KBC,0,0,0
KOS,0,0,0
GAB,0,0,0
CTP,0,0,0
HDA,0,0,0
TVB,0,0,0
VC7,0,0,0
ACL,0,0,0
FRT,0,0,0
SFI,0,0,0
TCT,0,0,0
DGW,0,0,0
ACM,0,0,0
VNG,0,0,0
CTF,0,0,0
TVT,0,0,0
PAN,0,0,0
BFC,0,0,0
LHG,0,0,0
RAL,0,0,0
UIC,0,0,0
CTS,0,0,0
AMD,0,0,0
VNE,0,0,0
TN1,0,0,0
SHA,0,0,0
HQC,0,0,0
SGN,0,0,0
CCL,0,0,0
DDN,0,0,0
CLC,0,0,0
CMG,0,0,0
DHM,0,0,0
HID,0,0,0
VNS,0,0,0
GMC,0,0,0
LEC,0,0,0
PTL,0,0,0
LDG,0,0,0
ICT,0,0,0
SSN,0,0,0
TV2,0,0,0
TVS,0,0,0
VOS,0,0,0
HHS,0,0,0
MCG,0,0,0
TCR,0,0,0
CAV,0,0,0
TCD,0,0,0
VTO,0,0,0
TNT,0,0,0
ATB,0,0,0
SHE,0,0,0
VCF,0,0,0
TTZ,0,0,0
BHN,0,0,0
LGL,0,0,0
NHA,0,0,0
HHG,0,0,0
TNA,0,0,0
SHP,0,0,0
SD2,0,0,0
TBC,0,0,0
HSL,0,0,0
TLH,0,0,0
TXM,0,0,0
PXI,0,0,0
UDC,0,0,0
ELC,0,0,0
PXS,0,0,0
KMR,0,0,0
POM,0,0,0
YEG,0,0,0
PME,0,0,0
IMP,0,0,0
SPM,0,0,0
DRH,0,0,0
MTA,0,0,0
CLH,0,0,0
SKG,0,0,0
TAC,0,0,0
SGR,0,0,0
TLD,0,0,0
DHG,0,0,0
TTB,0,0,0
LSS,0,0,0
ILB,0,0,0
ITS,0,0,0
ITD,0,0,0
PVL,0,0,0
PTS,0,0,0
BSI,0,0,0
FIT,0,0,0
ANV,0,0,0
VTB,0,0,0
CMX,0,0,0
TLG,0,0,0
TMT,0,0,0
SHI,0,0,0
DSN,0,0,0
ILA,0,0,0
PMG,0,0,0
ITC,0,0,0
PLP,0,0,0
SRC,0,0,0
ACC,0,0,0
HII,0,0,0
TMP,0,0,0
HRC,0,0,0
D2D,0,0,0
SFG,0,0,0
DHA,0,0,0
CNG,0,0,0
CLX,0,0,0
SJD,0,0,0
VC9,0,0,0
CTI,0,0,0
DPG,0,0,0
DQC,0,0,0
EVG,0,0,0
PXT,0,0,0
GVR,0,0,0
BIC,0,0,0
PTB,0,0,0
EVE,0,0,0
PAC,0,0,0
TTF,0,0,0
