Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
PDR,42,10,31,30,7,22,24,6,17,4,2,1
HPX,32,17,15,19,8,11,11,5,6,5,0,5
GEX,25,7,17,17,7,9,8,4,3,2,0,1
SHB,24,15,9,20,13,7,12,7,5,12,7,5
PVS,23,12,11,18,9,9,11,3,8,5,2,3
VND,22,6,15,12,3,8,10,3,6,3,0,2
NVB,22,21,1,17,16,1,16,15,1,15,14,1
NTC,22,11,11,7,3,4,4,3,1,1,0,1
CRE,21,8,12,4,2,1,4,2,1,3,2,0
CTR,19,10,9,12,8,4,3,2,1,1,0,1
NHH,19,18,1,13,12,1,6,6,0,0,0,0
VCB,18,13,4,7,4,2,3,2,0,1,0,0
NVL,18,9,8,13,7,5,10,7,2,5,3,1
VHM,17,13,3,11,7,3,6,5,0,3,2,0
VPI,16,15,0,3,2,0,3,2,0,0,0,0
MHC,16,0,15,6,0,6,6,0,6,3,0,3
KOS,16,11,5,0,0,0,0,0,0,0,0,0
AGG,16,5,10,6,0,5,1,0,0,1,0,0
VCG,16,6,9,11,3,7,8,0,7,1,0,0
EIB,16,3,12,8,0,7,4,0,3,4,0,3
KDC,16,14,1,5,3,1,2,0,1,1,0,0
HSG,15,6,8,7,2,4,5,2,2,5,2,2
KDH,15,6,8,8,4,3,8,4,3,1,0,0
SHS,15,8,6,7,1,5,5,0,4,4,0,3
ART,15,9,6,11,6,5,7,5,2,3,2,1
MWG,14,11,2,5,3,1,3,1,1,2,0,1
PLC,14,5,8,6,0,5,3,0,2,3,0,2
BID,14,5,8,2,0,1,1,0,0,1,0,0
VJC,13,5,7,9,3,5,7,3,3,5,3,1
VCI,13,6,6,5,4,0,1,0,0,0,0,0
GAS,13,3,9,13,3,9,9,2,6,1,0,0
VNM,13,10,2,10,7,2,5,2,2,3,0,2
L14,13,3,9,5,0,5,4,0,4,2,0,2
SZC,13,12,0,5,4,0,3,2,0,0,0,0
IDC,13,4,9,8,2,6,6,2,4,3,1,2
VPB,12,11,0,10,9,0,6,5,0,2,1,0
HPG,12,4,7,10,4,5,6,3,2,6,3,2
FIT,12,10,1,6,5,0,6,5,0,1,0,0
PNJ,12,2,9,5,2,2,3,0,2,1,0,0
VIC,12,4,7,8,4,3,5,4,0,4,3,0
S99,12,9,2,4,3,0,3,2,0,0,0,0
QTP,12,1,11,3,1,2,1,1,0,0,0,0
GIL,12,11,0,8,7,0,6,5,0,3,2,0
NDN,11,2,9,6,0,6,2,0,2,1,0,1
VCS,11,3,8,6,1,5,5,1,4,2,0,2
BII,11,4,7,3,1,2,2,1,1,0,0,0
DGC,11,8,2,7,5,1,3,1,1,2,1,0
TNG,11,6,5,3,1,2,2,1,1,1,1,0
SAB,11,9,1,5,5,0,5,5,0,3,3,0
HDC,11,5,5,0,0,0,0,0,0,0,0,0
APH,11,6,4,3,0,3,0,0,0,0,0,0
PLX,10,7,2,3,0,2,1,0,0,1,0,0
VOC,10,5,5,6,3,3,3,0,3,1,0,1
FPT,10,0,9,3,0,2,1,0,0,1,0,0
SPI,10,5,5,5,2,3,4,1,3,3,1,2
PTB,10,8,1,5,3,1,3,2,0,1,0,0
MSR,10,5,5,5,3,2,1,0,1,0,0,0
KBC,10,2,7,6,2,3,6,2,3,6,2,3
TVB,10,1,8,3,0,2,3,0,2,2,0,1
PVM,10,1,9,4,0,4,1,0,1,1,0,1
DCL,10,4,6,5,3,2,2,0,2,0,0,0
MSN,10,0,9,7,0,6,5,0,4,4,0,3
SIP,10,1,9,8,1,7,7,1,6,3,0,3
TCB,10,0,9,10,0,9,10,0,9,9,0,8
TIG,10,9,1,6,6,0,3,3,0,2,2,0
BCM,10,1,8,4,0,4,0,0,0,0,0,0
PAN,9,2,6,5,0,4,2,0,1,1,0,0
VRE,9,6,2,2,0,1,2,0,1,1,0,0
AMV,9,4,5,2,1,1,1,1,0,1,1,0
MBB,9,4,4,7,2,4,7,2,4,3,2,0
LPB,9,2,6,3,0,2,1,0,0,1,0,0
SJS,9,8,0,5,4,0,3,2,0,1,0,0
TVC,8,4,3,3,0,2,2,0,1,1,0,0
MST,8,1,6,1,1,0,0,0,0,0,0,0
HUT,8,5,3,2,2,0,1,1,0,1,1,0
MBG,8,3,4,5,1,3,3,0,2,0,0,0
PVC,8,2,6,4,1,3,2,1,1,2,1,1
TID,8,8,0,4,4,0,0,0,0,0,0,0
VIB,8,1,6,1,0,0,1,0,0,1,0,0
HDB,8,0,7,2,0,1,1,0,0,1,0,0
