Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
NVB,38,36,2,27,25,2,9,8,1,3,2,1
PAS,30,23,7,17,14,3,9,8,1,1,1,0
CTR,17,5,12,14,4,10,8,3,5,5,2,3
SCI,16,1,15,10,1,9,7,1,6,5,0,5
IDC,16,11,5,4,4,0,2,2,0,1,1,0
LTG,15,10,5,3,1,2,1,0,1,1,0,1
SHS,14,5,9,9,2,7,5,1,4,3,1,2
MCH,14,6,8,10,3,7,6,1,5,1,1,0
KLF,14,13,1,10,9,1,7,6,1,3,2,1
NTC,13,5,8,6,5,1,4,4,0,1,1,0
QTP,13,2,11,8,1,7,5,0,5,2,0,2
SHB,12,7,5,5,1,4,4,1,3,3,1,2
ACV,9,5,4,5,2,3,2,1,1,0,0,0
L14,9,3,6,2,1,1,2,1,1,1,1,0
QNS,9,4,5,3,3,0,3,3,0,0,0,0
VC3,8,5,3,0,0,0,0,0,0,0,0,0
VCS,8,2,5,7,2,4,6,1,4,2,0,1
MBS,8,4,4,2,2,0,1,1,0,1,1,0
HND,8,0,8,4,0,4,3,0,3,1,0,1
DVN,8,4,4,2,0,2,0,0,0,0,0,0
CEO,7,2,5,4,2,2,4,2,2,3,2,1
DTD,7,1,5,0,0,0,0,0,0,0,0,0
BCC,7,0,7,1,0,1,0,0,0,0,0,0
HUT,7,5,2,5,3,2,3,2,1,1,1,0
NDN,6,3,2,2,1,0,0,0,0,0,0,0
G36,6,2,4,2,0,2,1,0,1,0,0,0
MBG,5,2,3,1,1,0,1,1,0,1,1,0
NRC,5,2,3,1,1,0,0,0,0,0,0,0
TIG,5,4,0,5,4,0,0,0,0,0,0,0
ART,5,3,2,3,2,1,2,2,0,0,0,0
MML,5,0,5,0,0,0,0,0,0,0,0,0
BII,4,1,2,4,1,2,4,1,2,3,1,1
PLC,4,0,3,1,0,1,1,0,1,1,0,1
SDT,4,1,3,2,1,1,0,0,0,0,0,0
IDJ,4,1,3,1,0,1,1,0,1,1,0,1
TNG,4,2,1,3,2,0,3,2,0,2,1,0
MLS,4,0,4,4,0,4,2,0,2,0,0,0
BSR,4,1,3,3,0,3,2,0,2,2,0,2
TVC,3,0,3,1,0,1,0,0,0,0,0,0
DNM,3,1,2,0,0,0,0,0,0,0,0,0
MFS,3,2,1,0,0,0,0,0,0,0,0,0
SLS,3,2,1,1,0,1,0,0,0,0,0,0
NTP,3,0,3,0,0,0,0,0,0,0,0,0
IDV,3,0,3,0,0,0,0,0,0,0,0,0
VHE,3,0,3,1,0,1,0,0,0,0,0,0
SWC,3,0,3,0,0,0,0,0,0,0,0,0
DS3,3,1,2,0,0,0,0,0,0,0,0,0
PVP,3,1,2,0,0,0,0,0,0,0,0,0
APS,3,3,0,1,1,0,1,1,0,0,0,0
GKM,3,0,3,3,0,3,2,0,2,0,0,0
CSC,3,2,1,1,0,1,0,0,0,0,0,0
THT,3,0,3,0,0,0,0,0,0,0,0,0
HLD,3,0,3,1,0,1,1,0,1,0,0,0
FID,2,0,2,0,0,0,0,0,0,0,0,0
SRA,2,0,2,0,0,0,0,0,0,0,0,0
PSD,2,1,1,0,0,0,0,0,0,0,0,0
API,2,1,1,1,0,1,0,0,0,0,0,0
KSQ,2,1,1,0,0,0,0,0,0,0,0,0
NBC,2,1,1,0,0,0,0,0,0,0,0,0
AAV,2,0,2,0,0,0,0,0,0,0,0,0
S99,2,0,2,0,0,0,0,0,0,0,0,0
LIG,2,1,1,1,0,1,1,0,1,1,0,1
KLB,2,0,2,0,0,0,0,0,0,0,0,0
ITQ,2,0,2,0,0,0,0,0,0,0,0,0
C69,2,0,2,0,0,0,0,0,0,0,0,0
MST,2,1,1,0,0,0,0,0,0,0,0,0
EVF,2,0,2,1,0,1,1,0,1,0,0,0
OIL,2,1,1,0,0,0,0,0,0,0,0,0
AAS,2,0,2,1,0,1,1,0,1,0,0,0
BVS,2,2,0,2,2,0,0,0,0,0,0,0
SHN,2,0,2,0,0,0,0,0,0,0,0,0
SD6,2,0,2,1,0,1,0,0,0,0,0,0
BAX,2,0,2,1,0,1,1,0,1,0,0,0
HSG,2,1,0,0,0,0,0,0,0,0,0,0
MSR,2,0,2,2,0,2,1,0,1,1,0,1
CVN,2,0,2,1,0,1,1,0,1,0,0,0
NLG,2,0,2,0,0,0,0,0,0,0,0,0
DXP,2,1,1,0,0,0,0,0,0,0,0,0
TCW,2,0,2,0,0,0,0,0,0,0,0,0
PGS,2,1,1,1,0,1,0,0,0,0,0,0
C4G,1,0,1,0,0,0,0,0,0,0,0,0
PHR,1,0,0,0,0,0,0,0,0,0,0,0
HPG,1,0,0,1,0,0,0,0,0,0,0,0
VIT,1,0,1,0,0,0,0,0,0,0,0,0
PVL,1,1,0,0,0,0,0,0,0,0,0,0
DST,1,1,0,0,0,0,0,0,0,0,0,0
VNM,1,0,1,0,0,0,0,0,0,0,0,0
DDG,1,1,0,1,1,0,1,1,0,1,1,0
AMV,1,0,1,0,0,0,0,0,0,0,0,0
LAS,1,0,1,1,0,1,0,0,0,0,0,0
HHS,1,0,0,0,0,0,0,0,0,0,0,0
TAR,1,0,0,0,0,0,0,0,0,0,0,0
SCR,1,0,0,0,0,0,0,0,0,0,0,0
DRC,1,0,0,0,0,0,0,0,0,0,0,0
BMP,1,0,1,0,0,0,0,0,0,0,0,0
HBC,1,0,0,0,0,0,0,0,0,0,0,0
VGS,1,0,1,0,0,0,0,0,0,0,0,0
NKG,1,0,1,0,0,0,0,0,0,0,0,0
