Stock,Gap,B,S
ROS,50,50,0
ACM,50,50,0
KBC,50,50,0
ASM,50,50,0
FIT,50,50,0
DAG,48,49,1
VHM,46,48,2
TCM,46,48,2
NVB,45,48,3
PDR,44,47,3
ATB,43,47,4
VPS,43,47,4
KLF,43,47,4
TDH,42,46,4
EVG,42,46,4
HII,42,46,4
VCB,40,45,5
SZC,40,45,5
KSB,40,45,5
KSH,39,45,6
TDP,38,44,6
VNM,38,44,6
NHH,36,43,7
IBC,34,42,8
TPB,34,42,8
VPB,34,42,8
HNG,34,42,8
BID,34,42,8
SLS,33,42,9
PVL,33,42,9
PNJ,33,42,9
PHR,32,41,9
TTB,32,41,9
DHM,31,41,10
OIL,31,41,10
TNG,30,40,10
REE,30,40,10
SKG,29,40,11
SBT,28,39,11
APH,28,39,11
NVL,28,39,11
SHB,27,39,12
MSR,27,39,12
POW,26,38,12
HCD,26,38,12
STB,26,38,12
DRH,26,38,12
GKM,25,38,13
CTF,24,37,13
AGR,24,37,13
CVT,24,28,4
SFG,24,28,4
HPX,23,37,14
HSG,22,36,14
SBV,21,36,15
IDJ,21,36,15
NT2,21,36,15
C4G,21,36,15
HDB,20,35,15
VIX,20,35,15
SCD,20,20,0
IDC,19,35,16
VC3,19,27,8
HQC,18,34,16
TLH,18,34,16
DPM,18,34,16
TDM,18,34,16
G36,18,34,16
FPT,18,34,16
PVP,17,34,17
HDA,17,34,17
KVC,17,34,17
BVS,17,34,17
DRC,16,33,17
DBC,16,33,17
DST,15,33,18
PSH,15,33,18
FTS,15,33,18
CDO,15,33,18
DDG,15,33,18
ILB,15,33,18
HHS,14,32,18
BVH,14,32,18
NDN,14,32,18
SDT,14,30,16
THT,13,32,19
FCN,13,32,19
VIG,13,32,19
S99,13,32,19
NRC,13,32,19
PVT,12,31,19
SCR,12,31,19
NHA,11,31,20
SHS,11,31,20
PAS,11,31,20
HDC,10,30,20
FRT,10,30,20
DLG,10,30,20
LCG,10,30,20
HAR,10,30,20
EIB,10,30,20
GTN,10,30,20
NKG,10,30,20
VC7,10,17,7
CVN,9,30,21
CEO,9,30,21
DNM,9,30,21
TIP,9,30,21
APS,9,30,21
HVN,9,30,21
PVC,9,29,20
HOM,9,11,2
CTD,8,29,21
SSI,8,29,21
ABS,8,29,21
BVG,8,25,17
SRC,8,20,12
SHE,8,11,3
DZM,8,8,0
MBS,7,29,22
NTC,7,29,22
HLD,7,29,22
SD5,7,13,6
TS4,7,9,2
VND,6,28,22
CTS,6,28,22
PLX,6,28,22
MSN,6,28,22
VIP,6,28,22
HCM,6,28,22
AGM,6,14,8
TTZ,6,11,5
MBG,5,28,23
LIG,5,28,23
LTG,5,28,23
SHA,5,25,20
SVN,5,12,7
MWG,4,27,23
HAX,4,27,23
VPG,4,27,23
TAR,4,27,23
AFX,4,21,17
HUB,4,10,6
YBM,4,9,5
DHT,4,9,5
HCC,4,7,3
BOT,4,5,1
VOS,3,27,24
VHE,3,27,24
DIG,3,27,24
TCL,3,27,24
TMS,3,11,8
TEG,3,3,0
TTH,2,26,24
HPG,2,26,24
DCM,2,26,24
GVR,2,26,24
CTI,2,26,24
MPC,2,21,19
ITQ,2,16,14
PSD,2,12,10
TCT,2,10,8
SFI,2,10,8
TBC,2,9,7
CEN,2,9,7
LCM,2,9,7
PXI,2,7,5
TXM,2,6,4
LEC,2,3,1
ASG,2,3,1
HAT,2,3,1
AMS,2,2,0
BTD,2,2,0
ITS,2,2,0
TMP,2,2,0
PXL,1,26,25
AAV,1,26,25
AMV,1,26,25
ART,1,26,25
NBC,1,26,25
DCL,1,26,25
VGS,1,26,25
CAP,1,15,14
FOX,1,9,8
WCS,1,3,2
HTL,1,2,1
ILA,1,2,1
AGP,1,1,0
PME,1,1,0
TCB,0,25,25
VNG,0,25,25
AAA,0,25,25
CSC,0,25,25
GEX,0,25,25
OGC,0,25,25
SJS,0,25,25
LAS,0,19,19
MCG,0,9,9
CIG,0,9,9
BTS,0,8,8
PTL,0,5,5
CIA,0,3,3
DRL,0,3,3
CLX,0,3,3
CAV,0,2,2
TMT,0,2,2
CLL,0,1,1
CTR,-1,25,26
PWA,-1,25,26
HHP,-1,25,26
PVV,-1,25,26
BSR,-1,25,26
TDC,-1,25,26
DRI,-1,25,26
NSH,-1,16,17
TVS,-1,15,16
ADS,-1,10,11
CET,-1,4,5
UIC,-1,3,4
NAG,-1,3,4
PGN,-1,2,3
DAT,-1,2,3
INN,-1,2,3
SJE,-1,2,3
UDC,-1,1,2
VC9,-1,1,2
DDN,-1,0,1
SHP,-1,0,1
NVT,-1,0,1
FCM,-1,0,1
MQN,-1,0,1
PAC,-1,0,1
VCS,-2,24,26
KDC,-2,24,26
HTN,-2,24,26
TIG,-2,24,26
BCG,-2,24,26
VIT,-2,12,14
DS3,-2,7,9
SGN,-2,4,6
LHC,-2,3,5
TCD,-2,3,5
GAB,-2,1,3
VCF,-2,0,2
VIS,-2,0,2
STP,-2,0,2
BWE,-3,24,27
DMC,-3,22,25
PVI,-3,16,19
QNC,-3,11,14
DBT,-3,8,11
HTM,-3,6,9
CMS,-3,5,8
NBB,-3,3,6
HAD,-3,3,6
SBA,-3,1,4
M10,-3,1,4
FOC,-3,0,3
CCL,-4,23,27
DGC,-4,23,27
AGG,-4,23,27
FLC,-4,23,27
DXG,-4,23,27
VHC,-4,23,27
TNI,-4,23,27
PXT,-4,23,27
RDP,-4,17,21
VMC,-4,17,21
ABI,-4,11,15
THG,-4,11,15
MLS,-4,6,10
BTP,-4,2,6
SSN,-4,0,4
BDG,-4,0,4
TVB,-5,23,28
VRC,-5,23,28
HUT,-5,23,28
PTB,-5,23,28
EVF,-5,23,28
MTA,-5,9,14
TRA,-5,6,11
TN1,-5,0,5
TDS,-5,0,5
SD6,-6,22,28
SWC,-6,22,28
KDH,-6,22,28
HAG,-6,22,28
HVH,-6,22,28
IMP,-6,15,21
PVG,-6,8,14
HAN,-6,7,13
TA9,-6,6,12
BHN,-6,4,10
CTP,-6,3,9
EID,-7,14,21
SD9,-7,2,9
VNS,-7,0,7
AMD,-8,21,29
DGW,-8,21,29
BII,-8,21,29
VDS,-8,21,29
NTL,-8,21,29
GIL,-8,21,29
PLC,-8,21,29
BSI,-8,21,29
PLP,-8,21,29
MFS,-8,15,23
TCR,-8,6,14
KSQ,-8,4,12
VKC,-8,3,11
SD2,-8,1,9
PVB,-9,21,30
PET,-9,21,30
FID,-9,21,30
SAV,-9,12,21
ITD,-9,6,15
KLB,-9,5,14
PTS,-9,4,13
SHN,-9,2,11
PHP,-9,1,10
TVC,-10,20,30
CTG,-10,20,30
DAH,-10,20,30
SHI,-10,20,30
C69,-10,20,30
VCI,-10,20,30
ORS,-10,14,24
MPT,-10,12,22
DHG,-10,11,21
STG,-10,8,18
DPR,-10,6,16
CHP,-10,3,13
TYA,-10,3,13
TCW,-10,2,12
VPD,-10,2,12
EVE,-10,2,12
CLH,-10,1,11
AAS,-11,20,31
HHG,-11,20,31
TV2,-11,20,31
PHC,-11,20,31
GEG,-11,20,31
ANV,-11,20,31
TLD,-11,20,31
L14,-11,20,31
CLC,-11,12,23
MCH,-11,9,20
PMG,-11,5,16
DC4,-11,4,15
GDT,-11,0,11
MBB,-12,19,31
CRE,-12,19,31
IJC,-12,19,31
POM,-12,19,31
ITA,-12,19,31
D2D,-12,19,31
NSC,-12,8,20
BAX,-12,4,16
TVD,-12,3,15
SZB,-12,3,15
DBD,-12,3,15
VNE,-13,19,32
LGL,-13,19,32
CSV,-13,19,32
DVN,-13,19,32
JVC,-13,19,32
BCC,-13,19,32
SRA,-13,19,32
TDN,-13,14,27
ABC,-13,5,18
RIC,-13,0,13
PVD,-14,18,32
DTD,-14,18,32
C32,-14,18,32
SZL,-14,9,23
GMC,-15,18,33
RAL,-15,18,33
FMC,-15,18,33
DXP,-15,18,33
HAH,-15,18,33
ACC,-15,18,33
ITC,-15,18,33
VTO,-15,11,26
TDG,-16,17,33
IDI,-16,17,33
VSH,-16,11,27
HTI,-16,8,24
SPI,-16,7,23
HND,-17,17,34
HAP,-17,17,34
SAB,-17,17,34
VSC,-17,17,34
TGG,-17,17,34
DQC,-17,10,27
GAS,-18,16,34
TSC,-18,16,34
CNG,-18,16,34
PGC,-18,9,27
DHA,-18,7,25
LHG,-19,16,35
HDG,-19,16,35
CRC,-19,16,35
QNS,-19,16,35
MST,-19,16,35
DHC,-19,16,35
ACL,-19,14,33
API,-19,14,33
APC,-19,13,32
HBC,-20,15,35
BCE,-20,15,35
FIR,-20,15,35
DPG,-20,15,35
YEG,-20,14,34
SJD,-20,11,31
PGS,-20,4,24
IDV,-20,1,21
ELC,-21,15,36
SCS,-21,15,36
TDT,-21,15,36
QTP,-21,15,36
SGR,-21,15,36
CSM,-21,12,33
PPC,-22,14,36
BMI,-22,14,36
KMR,-22,14,36
LIX,-22,14,36
TAC,-22,13,35
QCG,-23,14,37
AST,-23,14,37
FTM,-23,14,37
TVT,-23,0,23
TNA,-24,13,37
HAI,-24,13,37
PXS,-24,13,37
HSL,-25,13,38
QBS,-25,13,38
MIG,-25,13,38
HT1,-25,13,38
TTF,-25,13,38
C47,-25,13,38
HID,-25,8,33
MML,-25,6,31
PVS,-26,12,38
CMG,-26,12,38
GMD,-26,12,38
VRE,-26,12,38
LSS,-26,12,38
SJF,-26,12,38
VPH,-27,12,39
DVP,-27,12,39
SMC,-27,12,39
ASP,-27,8,35
VJC,-28,11,39
TCH,-28,11,39
ICT,-29,11,40
NNC,-29,11,40
BMC,-29,11,40
ACV,-29,11,40
SMB,-29,6,35
VGC,-30,10,40
BCM,-31,10,41
STH,-31,10,41
TNT,-32,9,41
NLG,-32,9,41
APG,-32,9,41
NTP,-33,4,37
SAM,-34,8,42
CKG,-34,8,42
MHC,-34,8,42
NAF,-34,8,42
KHP,-35,8,43
PC1,-37,7,44
BFC,-38,6,44
BMP,-38,6,44
CDC,-39,6,45
DSN,-39,6,45
CMX,-39,6,45
CII,-40,5,45
NCT,-40,2,42
VTB,-41,5,46
BIC,-41,5,46
LDG,-42,4,46
STK,-42,4,46
PAN,-43,4,47
KOS,-45,3,48
VPI,-45,3,48
SCI,-45,3,48
VIC,-46,2,48
TLG,-49,1,50
