Stock,Morning,Afternoon,Volume,Filtered
CSM,5300,9000,14300,True
BVS,0,125200,125200,True
IDJ,0,138000,138000,True
NLG,0,127000,127000,True
APS,0,215800,215800,True
IDI,0,196900,196900,True
HCM,0,298500,298500,True
HAR,0,185900,185900,True
OGC,0,66700,66700,True
DAH,0,184000,184000,True
VPH,0,113300,113300,True
QTP,0,231100,231100,True
MFS,9600,20400,30000,True
KDH,0,221800,221800,True
TDN,12300,50600,62900,True
MSR,0,120000,120000,True
IJC,0,124500,124500,True
EIB,0,233700,233700,True
NTC,900,24400,25300,True
BCG,0,26400,26400,True
BCE,1000,36200,37200,True
STB,0,881400,881400,True
S99,0,162500,162500,True
ANV,6700,37300,44000,True
FTM,15400,16500,31900,True
TGG,0,143300,143300,True
OIL,0,98900,98900,True
GKM,0,69300,69300,True
BMI,0,83100,83100,True
PVM,0,223200,223200,True
PAS,0,135900,135900,True
PLC,0,172400,172400,True
ABC,12300,16100,28400,True
VNM,0,106800,106800,True
DDG,9500,66400,75900,True
TCH,0,427200,427200,True
SHI,0,136000,136000,True
CMX,0,38400,38400,True
C69,17700,54000,71700,True
SGP,19200,52700,71900,True
C4G,0,89500,89500,True
FIT,0,356200,356200,True
HVH,0,37600,37600,True
ASM,0,44600,44600,True
VRE,0,296500,296500,True
LTG,0,65100,65100,True
VSC,4300,14300,18600,True
VRG,3000,3500,6500,True
SAB,0,37100,37100,True
DBC,0,60400,60400,True
TDH,0,132200,132200,True
MST,0,176200,176200,True
AFX,52900,95900,148800,True
BCC,0,230900,230900,True
SMC,0,39200,39200,True
LAS,20600,188400,209000,True
GEG,0,65800,65800,True
G36,0,77400,77400,True
VGS,0,78200,78200,True
TSC,0,309400,309400,True
VJC,0,70000,70000,True
C32,19200,42100,61300,True
VCB,0,82000,82000,True
HPG,0,918600,918600,True
BFC,15300,75400,90700,True
VHE,1800,94600,96400,True
HBC,0,373400,373400,True
HTN,11800,14500,26300,True
SBT,0,150400,150400,True
CKG,0,85000,85000,True
VPB,0,262300,262300,True
DNM,22100,47000,69100,True
AST,4400,14500,18900,True
SWC,19600,49400,69000,True
MPC,38400,45500,83900,True
HCD,0,139900,139900,True
MPT,0,164900,164900,True
AGG,0,193500,193500,True
PHC,43900,110100,154000,True
KHP,1900,89700,91600,True
PFL,7400,244300,251700,True
BVH,0,55700,55700,True
QBS,0,146000,146000,True
DVN,3700,76700,80400,True
HAX,0,66500,66500,True
CSV,0,46900,46900,True
CRE,0,165100,165100,True
FMC,0,26800,26800,True
DLG,0,130000,130000,True
SBV,19300,32300,51600,True
SCR,0,458900,458900,True
LHG,0,35300,35300,True
TPB,0,68200,68200,True
VIB,0,54900,54900,True
VGI,0,38100,38100,True
VEA,0,44200,44200,True
QCG,0,98200,98200,True
KDC,0,339100,339100,True
NVB,0,4778700,4778700,True
REE,0,55000,55000,True
BMP,0,18600,18600,True
PSH,0,57400,57400,True
KSH,0,453100,453100,True
IDC,0,271200,271200,True
MSN,0,132500,132500,True
DAG,0,56500,56500,True
FTS,0,58400,58400,True
TIP,0,53600,53600,True
VSH,39400,82900,122300,True
TID,0,94100,94100,True
APH,0,62600,62600,True
SBS,0,441000,441000,True
CDO,0,169900,169900,True
MHC,0,493500,493500,True
DCM,0,153000,153000,True
VHC,0,70500,70500,True
HAH,0,44900,44900,True
DTD,9300,43500,52800,True
VIG,0,147800,147800,True
VIP,0,59400,59400,True
DXG,0,303700,303700,True
JVC,0,147200,147200,True
DXP,24100,58700,82800,True
HNG,0,402800,402800,True
GIL,0,86500,86500,True
PHR,0,46900,46900,True
API,14300,40300,54600,True
CII,0,137600,137600,True
VPG,0,178000,178000,True
TDC,0,95500,95500,True
TIG,0,320400,320400,True
ART,0,687600,687600,True
FLC,0,657000,657000,True
HND,9700,51200,60900,True
PDR,0,193300,193300,True
BMC,7400,13600,21000,True
LCG,0,163400,163400,True
NTL,0,48400,48400,True
PET,0,80200,80200,True
FCN,0,187600,187600,True
MSH,12500,19500,32000,True
SZC,0,88800,88800,True
QNS,6300,90900,97200,True
HAI,0,552300,552300,True
CRC,0,36500,36500,True
TDT,0,102600,102600,True
TEG,0,72900,72900,True
CEO,0,228100,228100,True
TDG,0,62200,62200,True
VHG,0,386400,386400,True
PVC,0,256600,256600,True
AAS,0,160700,160700,True
PC1,0,55700,55700,True
KBC,0,344700,344700,True
BII,0,265200,265200,True
ELC,0,62700,62700,True
PVB,0,67100,67100,True
POW,0,384400,384400,True
VC3,20200,25300,45500,True
VCR,0,80200,80200,True
DPM,0,89300,89300,True
HSL,9200,53900,63100,True
TLH,0,136400,136400,True
AAA,0,713500,713500,True
HHG,60500,123800,184300,True
VCS,0,67900,67900,True
AAV,0,115100,115100,True
GMD,0,88000,88000,True
TVB,0,301600,301600,True
CTG,0,483500,483500,True
HDA,100,18300,18400,True
SSI,0,321200,321200,True
PXL,67400,136000,203400,True
PVP,0,79600,79600,True
PAN,0,130100,130100,True
ACM,0,708900,708900,True
TVC,0,220400,220400,True
VNG,0,104000,104000,True
VOC,19800,128700,148500,True
VNP,0,79300,79300,True
DGW,0,19600,19600,True
CVN,28500,37100,65600,True
TCB,0,451600,451600,True
SD6,15100,111800,126900,True
MBS,0,113100,113100,True
SIP,12900,13500,26400,True
FRT,0,94300,94300,True
SHB,0,3074700,3074700,True
KVC,0,106600,106600,True
TNA,0,58700,58700,True
PVT,0,155700,155700,True
SSN,24000,198800,222800,True
VIC,0,83000,83000,True
AGR,0,70700,70700,True
VDS,0,87000,87000,True
NSH,0,118300,118300,True
GAS,0,80600,80600,True
BSR,0,128500,128500,True
ICT,12100,40400,52500,True
HHS,0,374200,374200,True
VCG,0,145100,145100,True
HDG,0,39600,39600,True
VOS,0,171300,171300,True
AMV,0,198800,198800,True
DST,0,222800,222800,True
TV2,2600,26000,28600,True
KSB,0,61200,61200,True
LIG,0,383000,383000,True
MBB,0,434100,434100,True
SHS,0,557600,557600,True
TNT,0,153100,153100,True
VTO,36700,39500,76200,True
PVV,0,146800,146800,True
PLX,0,60700,60700,True
ITQ,88900,74200,163100,False
HTI,46600,2600,49200,False
NRC,76300,42600,118900,False
VNA,38800,20600,59400,False
VPI,130600,17500,148100,False
ITD,25400,9100,34500,False
VCP,14700,3300,18000,False
VNR,29700,9700,39400,False
BCM,40100,10200,50300,False
ILB,43100,7800,50900,False
VNE,24200,22600,46800,False
SAM,41600,7700,49300,False
MTA,18800,6300,25100,False
NCT,11000,5300,16300,False
ASP,33800,15400,49200,False
SGR,35400,3500,38900,False
TVD,49000,12800,61800,False
SRC,11600,6100,17700,False
ACC,17000,10900,27900,False
APC,31400,8600,40000,False
DHC,13100,8000,21100,False
TVS,8800,4300,13100,False
KOS,144800,6800,151600,False
VTR,13800,12400,26200,False
HAP,16500,10300,26800,False
HPX,230500,98000,328500,False
STH,19000,12700,31700,False
NAF,15700,14700,30400,False
ACL,17300,10400,27700,False
TLG,21400,6100,27500,False
DCL,106800,1300,108100,False
IBC,66400,700,67100,False
DS3,58700,42800,101500,False
SJD,121500,8100,129600,False
FIR,26300,22700,49000,False
