Stock,Gap,B,S
PVS,128,254,126
APH,99,135,36
PVD,90,252,162
TCH,90,179,89
PDR,86,142,56
SBT,86,122,36
DHC,84,109,25
KDC,79,98,19
MWG,78,248,170
PHR,73,169,96
NVL,54,149,95
VPI,44,62,18
NLG,29,51,22
QNS,27,31,4
HSG,26,322,296
NHH,25,26,1
PET,24,57,33
GKM,24,24,0
TPB,22,73,51
CVT,21,54,33
KOS,21,21,0
HPX,19,22,3
VCS,17,48,31
GMD,15,45,30
DGC,15,42,27
FCN,13,31,18
KSB,13,25,12
SHI,12,12,0
IMP,11,19,8
SCR,11,18,7
BWE,11,15,4
ACV,10,37,27
GIL,10,28,18
NBB,10,10,0
CRE,9,36,27
PVC,9,10,1
SIP,8,21,13
HTN,8,10,2
PLP,8,9,1
HCM,7,96,89
IBC,7,7,0
TVC,6,8,2
MML,6,7,1
PTB,5,31,26
PAS,5,12,7
TTF,5,7,2
FRT,5,6,1
CTF,5,6,1
DRC,4,17,13
MCH,4,9,5
VEA,4,8,4
LDG,4,7,3
TLD,4,6,2
NTL,3,29,26
VC3,3,5,2
NNC,3,5,2
FMC,3,4,1
PSH,3,4,1
SMB,3,3,0
SAV,3,3,0
TCL,3,3,0
EVG,3,3,0
KLB,3,3,0
DMC,3,3,0
HBC,2,36,34
HVN,2,19,17
VPG,2,8,6
MST,2,6,4
MLS,2,5,3
DRI,2,4,2
CRC,2,3,1
VGC,2,2,0
CTI,2,2,0
VNG,2,2,0
TDC,2,2,0
BSR,1,15,14
GEG,1,10,9
AAA,1,9,8
BMI,1,6,5
AST,1,5,4
CEO,1,4,3
FIT,1,2,1
NHA,1,2,1
FTS,1,2,1
CHP,1,1,0
VGS,1,1,0
DBD,1,1,0
HAP,1,1,0
HUT,1,1,0
PGS,1,1,0
DPR,1,1,0
ABS,1,1,0
NSC,1,1,0
C69,1,1,0
C4G,1,1,0
PXS,1,1,0
TTB,1,1,0
ILB,1,1,0
ITD,1,1,0
TNT,1,1,0
TTZ,1,1,0
CTS,1,1,0
VNE,1,1,0
HDA,1,1,0
HND,1,1,0
TIP,1,1,0
STK,1,1,0
VSH,1,1,0
MSH,1,1,0
PHC,1,1,0
PVT,0,49,49
VND,0,22,22
LAS,0,4,4
APG,0,4,4
ABC,0,4,4
ADG,0,3,3
PVB,0,3,3
MBG,0,3,3
PC1,0,3,3
VGT,0,2,2
MPC,0,2,2
HAX,0,2,2
LIG,0,1,1
VOC,0,1,1
PFL,0,1,1
SCS,0,1,1
CKG,0,1,1
AFX,0,0,0
SNZ,0,0,0
VRG,0,0,0
ORS,0,0,0
FTM,0,0,0
APC,0,0,0
DVP,0,0,0
PSD,0,0,0
ADS,0,0,0
TGG,0,0,0
C32,0,0,0
TSC,0,0,0
GDT,0,0,0
BAX,0,0,0
HAD,0,0,0
AGM,0,0,0
MFS,0,0,0
DAH,0,0,0
VPH,0,0,0
HAR,0,0,0
VRC,0,0,0
EVE,0,0,0
PAC,0,0,0
TVN,0,0,0
FIR,0,0,0
TYA,0,0,0
VTD,0,0,0
C47,0,0,0
TNI,0,0,0
SPI,0,0,0
VLC,0,0,0
PVI,0,0,0
SRC,0,0,0
HII,0,0,0
SD9,0,0,0
CNG,0,0,0
DHA,0,0,0
SJD,0,0,0
DQC,0,0,0
PXT,0,0,0
BIC,0,0,0
PVL,0,0,0
ITQ,0,0,0
BSI,0,0,0
CMX,0,0,0
SGP,0,0,0
DDG,0,0,0
DSN,0,0,0
NRC,0,0,0
KMR,0,0,0
POM,0,0,0
YEG,0,0,0
DRH,0,0,0
SKG,0,0,0
TAC,0,0,0
SGR,0,0,0
LSS,0,0,0
LGL,0,0,0
HHP,0,0,0
SDD,0,0,0
TA9,0,0,0
TBC,0,0,0
SEA,0,0,0
HSL,0,0,0
VCR,0,0,0
TXM,0,0,0
BII,0,0,0
ELC,0,0,0
TV2,0,0,0
TVS,0,0,0
SSN,0,0,0
VOS,0,0,0
VCP,0,0,0
CLG,0,0,0
SKH,0,0,0
VNA,0,0,0
PVV,0,0,0
TN1,0,0,0
SHA,0,0,0
TCW,0,0,0
CCL,0,0,0
SDT,0,0,0
DHM,0,0,0
TTH,0,0,0
CTP,0,0,0
DS3,0,0,0
ACL,0,0,0
TCT,0,0,0
SFI,0,0,0
CMS,0,0,0
ABI,0,0,0
CVN,0,0,0
VNP,0,0,0
PXL,0,0,0
PVP,0,0,0
BMC,0,0,0
ASG,0,0,0
ASP,0,0,0
DAG,0,0,0
QBS,0,0,0
KHP,0,0,0
VIG,0,0,0
HAH,0,0,0
VIP,0,0,0
JVC,0,0,0
DXP,0,0,0
SBS,0,0,0
MHC,0,0,0
TDT,0,0,0
STH,0,0,0
NCT,0,0,0
DTA,0,0,0
QCG,0,0,0
DLG,0,0,0
SAM,0,0,0
SBV,0,0,0
TDG,0,0,0
AGR,0,0,0
HCD,0,0,0
SWC,0,0,0
VHE,0,0,0
MPT,0,0,0
THG,0,0,0
DNM,0,0,0
SJS,-1,8,9
ASM,-1,4,5
TDH,-1,2,3
EVF,-1,2,3
TDM,-1,1,2
LIX,-1,1,2
TLG,-1,1,2
SD6,-1,1,2
ART,-1,1,2
KDF,-1,1,2
IDV,-1,1,2
SLS,-1,0,1
BOT,-1,0,1
CIA,-1,0,1
HVH,-1,0,1
NAF,-1,0,1
BCC,-1,0,1
BCG,-1,0,1
MSR,-1,0,1
TDN,-1,0,1
IDI,-1,0,1
SZL,-1,0,1
IDJ,-1,0,1
BVS,-1,0,1
SFG,-1,0,1
AAV,-1,0,1
TTN,-1,0,1
DST,-1,0,1
HQC,-1,0,1
SD5,-1,0,1
HID,-1,0,1
ACM,-1,0,1
PAN,-1,0,1
DCL,-1,0,1
SBA,-1,0,1
PGN,-1,0,1
BCM,-1,0,1
BTD,-1,0,1
KSH,-1,0,1
CTR,-2,21,23
HT1,-2,4,6
L14,-2,3,5
TIG,-2,2,4
CSM,-2,1,3
OIL,-2,1,3
SMC,-2,1,3
NTC,-2,1,3
DHT,-2,1,3
VTR,-2,1,3
D2D,-2,1,3
BFC,-2,1,3
S99,-2,0,2
NTP,-2,0,2
OGC,-2,0,2
SJF,-2,0,2
SRA,-2,0,2
HHS,-2,0,2
PWA,-2,0,2
AAS,-2,0,2
MBS,-2,0,2
LHG,-2,0,2
FOX,-2,0,2
ROS,-3,5,8
VSC,-3,1,4
AMV,-3,0,3
VCI,-4,43,47
CII,-4,29,33
SHS,-4,25,29
TNG,-4,18,22
NT2,-4,4,8
PPC,-4,2,6
TNA,-4,1,5
HAI,-4,1,5
HLD,-4,0,4
TLH,-4,0,4
AMD,-4,0,4
CMG,-4,0,4
SZC,-5,30,35
KBC,-5,15,20
DTD,-5,1,6
QTP,-5,0,5
ANV,-5,0,5
TVB,-5,0,5
DVN,-5,0,5
GVR,-6,76,82
TAR,-6,8,14
HAG,-6,7,13
IJC,-6,2,8
EIB,-6,0,6
VCG,-6,0,6
GTN,-7,10,17
REE,-7,7,14
NDN,-7,2,9
TCM,-8,30,38
SAB,-8,8,16
VTP,-9,11,20
PLC,-9,10,19
AGG,-10,12,22
VGI,-10,5,15
IDC,-10,4,14
CTD,-11,77,88
VIB,-11,17,28
G36,-11,6,17
DPG,-11,5,16
LCG,-12,19,31
HDC,-12,12,24
VHC,-12,9,21
LTG,-12,7,19
SHB,-13,25,38
ITA,-13,9,22
HNG,-13,8,21
KLF,-13,1,14
CSV,-13,1,14
GAS,-15,114,129
PLX,-15,17,32
BID,-17,18,35
ACB,-19,82,101
BVH,-20,45,65
BMP,-21,14,35
HDG,-22,34,56
VIX,-22,22,44
NVB,-22,10,32
SSI,-25,74,99
DBC,-26,34,60
DGW,-26,5,31
DPM,-28,39,67
GAB,-29,2,31
DXG,-30,66,96
MSN,-32,201,233
DIG,-32,29,61
VIC,-33,139,172
VJC,-40,92,132
POW,-40,22,62
FPT,-45,84,129
VCB,-45,48,93
PNJ,-48,100,148
HDB,-50,89,139
DCM,-60,35,95
GEX,-66,123,189
VRE,-67,163,230
KDH,-70,41,111
NKG,-71,42,113
STB,-90,84,174
MBB,-105,163,268
HPG,-124,473,597
VPB,-124,74,198
VHM,-127,164,291
CTG,-142,141,283
FLC,-142,38,180
TCB,-144,285,429
VNM,-333,203,536
