Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
HPG,63,36,25,10,6,2,8,5,1,3,1,0
ACB,50,20,28,13,5,6,5,1,3,2,1,0
SSI,49,37,10,18,15,1,5,3,0,4,2,0
STB,41,24,15,6,3,1,4,2,0,3,1,0
TCB,34,19,13,3,0,1,2,0,0,2,0,0
MBB,24,12,10,9,4,3,5,2,1,2,0,0
VNM,20,1,17,6,0,4,3,0,1,2,0,0
CTG,19,13,4,5,2,1,2,0,0,1,0,0
VPB,17,12,4,5,3,1,2,1,0,1,0,0
VRE,16,6,8,4,1,1,3,1,0,1,0,0
HDB,16,10,4,2,1,0,1,0,0,1,0,0
VHM,15,8,5,3,1,0,2,0,0,2,0,0
SHS,14,10,3,6,5,0,4,3,0,3,3,0
PVS,13,4,9,4,2,2,3,2,1,1,1,0
VCG,12,4,7,2,1,1,1,0,1,0,0,0
VIX,11,0,10,1,0,1,0,0,0,0,0,0
IDC,11,5,6,2,2,0,2,2,0,2,2,0
NVL,11,9,0,2,0,0,2,0,0,1,0,0
MWG,10,2,6,4,0,2,2,0,0,1,0,0
HBC,9,4,3,3,0,1,1,0,0,0,0,0
SHB,9,3,6,3,0,3,2,0,2,1,0,1
GTN,8,2,4,3,0,1,2,0,0,1,0,0
CEO,7,4,1,3,3,0,2,2,0,0,0,0
HSG,7,2,3,2,0,0,1,0,0,1,0,0
DXG,7,0,5,2,0,1,1,0,0,0,0,0
CII,6,5,0,2,2,0,1,1,0,0,0,0
VIC,6,2,2,3,1,0,2,0,0,1,0,0
NVB,6,6,0,4,4,0,3,3,0,1,1,0
BSR,6,4,2,1,1,0,1,1,0,0,0,0
TAR,5,0,5,1,0,1,1,0,1,0,0,0
ITA,5,0,3,2,0,1,1,0,0,1,0,0
DIG,5,2,1,1,0,0,1,0,0,1,0,0
VCI,5,2,2,3,1,1,1,0,0,0,0,0
HUT,5,2,2,1,0,1,1,0,1,0,0,0
HCM,5,2,1,3,1,0,1,0,0,0,0,0
VPI,5,5,0,2,2,0,0,0,0,0,0,0
NKG,5,1,3,1,0,0,0,0,0,0,0,0
PVD,4,0,2,2,0,1,1,0,0,0,0,0
GEX,4,0,2,1,0,0,1,0,0,1,0,0
AAA,4,1,1,0,0,0,0,0,0,0,0,0
GMD,3,1,0,2,0,0,0,0,0,0,0,0
CTD,3,0,1,2,0,0,1,0,0,0,0,0
BID,3,1,0,2,0,0,2,0,0,1,0,0
TCH,3,0,1,2,0,1,2,0,1,2,0,1
PNJ,3,1,0,1,0,0,1,0,0,0,0,0
TCM,3,0,2,2,0,1,1,0,0,1,0,0
KBC,3,1,0,2,0,0,1,0,0,1,0,0
GVR,3,1,0,2,0,0,1,0,0,0,0,0
PTB,3,0,3,0,0,0,0,0,0,0,0,0
LTG,3,3,0,0,0,0,0,0,0,0,0,0
SBT,3,0,1,1,0,0,1,0,0,1,0,0
DBC,3,0,1,2,0,0,1,0,0,1,0,0
MSN,3,1,0,1,0,0,1,0,0,1,0,0
VEA,3,3,0,2,2,0,1,1,0,0,0,0
REE,3,0,2,1,0,1,0,0,0,0,0,0
POW,2,0,0,1,0,0,1,0,0,1,0,0
BVH,2,0,0,2,0,0,1,0,0,1,0,0
PLX,2,0,0,1,0,0,1,0,0,1,0,0
DCM,2,1,0,0,0,0,0,0,0,0,0,0
TPB,2,0,0,1,0,0,0,0,0,0,0,0
HAG,2,0,0,1,0,0,0,0,0,0,0,0
LDG,2,0,0,0,0,0,0,0,0,0,0,0
HDC,2,2,0,2,2,0,0,0,0,0,0,0
HNG,2,0,1,1,0,0,1,0,0,1,0,0
PDR,2,0,0,1,0,0,1,0,0,1,0,0
ASM,2,2,0,0,0,0,0,0,0,0,0,0
OIL,2,0,2,0,0,0,0,0,0,0,0,0
NTC,2,1,1,2,1,1,0,0,0,0,0,0
IJC,2,0,0,1,0,0,1,0,0,0,0,0
SCR,2,0,0,1,0,0,0,0,0,0,0,0
GEG,2,1,0,0,0,0,0,0,0,0,0,0
GAS,2,0,0,2,0,0,1,0,0,0,0,0
VCB,2,0,0,2,0,0,1,0,0,1,0,0
VJC,2,0,0,2,0,0,1,0,0,1,0,0
VCS,2,1,0,0,0,0,0,0,0,0,0,0
FPT,2,0,0,2,0,0,1,0,0,1,0,0
PHR,2,1,0,1,0,0,1,0,0,0,0,0
HHP,2,2,0,0,0,0,0,0,0,0,0,0
PET,2,0,0,0,0,0,0,0,0,0,0,0
VHC,2,0,0,1,0,0,1,0,0,0,0,0
L14,2,2,0,0,0,0,0,0,0,0,0,0
SHI,1,1,0,0,0,0,0,0,0,0,0,0
FRT,1,0,0,1,0,0,1,0,0,0,0,0
KSB,1,0,0,1,0,0,0,0,0,0,0,0
TTB,1,0,0,1,0,0,1,0,0,1,0,0
DPG,1,0,0,0,0,0,0,0,0,0,0,0
DGW,1,0,0,1,0,0,0,0,0,0,0,0
FIT,1,0,0,0,0,0,0,0,0,0,0,0
HPX,1,0,0,0,0,0,0,0,0,0,0,0
HAX,1,0,0,0,0,0,0,0,0,0,0,0
EIB,1,0,0,0,0,0,0,0,0,0,0,0
CRE,1,0,0,1,0,0,0,0,0,0,0,0
MCH,1,1,0,0,0,0,0,0,0,0,0,0
