Stock,Gap,B,S
MST,-3,0,3
PVS,-4,90,94
AGG,-4,77,81
PNJ,-4,50,54
SIP,-4,44,48
SZC,-4,18,22
SCR,-4,17,21
C4G,-4,13,17
G36,-4,12,16
PLC,-4,11,15
CTI,-4,7,11
CSV,-4,4,8
BCC,-4,2,6
HND,-4,0,4
HTN,-4,0,4
TVB,-4,0,4
DGC,-5,30,35
VGI,-5,25,30
DHC,-5,17,22
FCN,-5,7,12
KDF,-5,7,12
CMX,-5,4,9
HAX,-5,1,6
CVT,-5,1,6
KLF,-5,1,6
TCL,-5,0,5
BVH,-6,92,98
TSC,-6,4,10
CTG,-7,324,331
HLD,-7,5,12
SCS,-7,0,7
C32,-7,0,7
VTP,-8,8,16
PXL,-8,3,11
SRA,-8,2,10
VSC,-8,2,10
NTP,-8,2,10
TLG,-8,1,9
NLG,-9,28,37
FLC,-9,24,33
GEG,-9,13,22
NTC,-9,9,18
AGR,-9,3,12
AMV,-9,3,12
HCM,-10,157,167
MWG,-10,143,153
KBC,-10,44,54
HAH,-10,7,17
PTB,-10,7,17
DRI,-10,0,10
DIG,-11,119,130
TVC,-11,13,24
VEA,-12,29,41
HAG,-12,22,34
MCH,-12,4,16
VCG,-14,12,26
PAS,-14,7,21
PVB,-14,0,14
HDC,-15,25,40
NTL,-15,14,29
IJC,-17,16,33
VIB,-20,18,38
SBT,-22,82,104
SAB,-22,10,32
TDH,-23,24,47
PET,-24,14,38
DGW,-24,4,28
PHR,-25,48,73
TDM,-25,7,32
VND,-26,72,98
CII,-27,47,74
FIT,-27,27,54
LCG,-27,25,52
IDC,-33,49,82
NKG,-34,75,109
DXG,-44,74,118
DPM,-45,33,78
CTR,-50,38,88
FRT,-52,29,81
ITA,-56,58,114
MBB,-57,282,339
HBC,-60,89,149
GEX,-84,144,228
VCI,-100,30,130
GMD,-101,96,197
HNG,-109,63,172
HPG,-221,500,721
TCH,-291,224,515
