Stock,Gap,B,S
DPM,910,1963,1053
SHB,861,1162,301
HPG,806,2522,1716
CTD,695,1141,446
SSI,571,1259,688
DCM,548,1362,814
MBB,469,1107,638
HSG,352,1451,1099
FLC,352,1123,771
HCM,345,817,472
BVH,308,834,526
HDB,281,607,326
CII,253,559,306
NKG,221,856,635
CTI,193,331,138
GTN,186,319,133
HAI,182,287,105
NTL,179,348,169
APG,168,209,41
TDH,164,458,294
AAS,145,232,87
C4G,145,193,48
PAN,142,277,135
DGC,141,251,110
AGR,135,370,235
HAR,132,248,116
LCG,131,339,208
DGW,131,241,110
FIT,127,299,172
ASM,122,389,267
BFC,122,295,173
DXG,117,533,416
VJC,117,236,119
TDC,115,159,44
KDC,109,174,65
VCB,107,232,125
VND,104,382,278
HAX,103,274,171
ITA,98,900,802
BMP,96,159,63
JVC,96,132,36
MBG,93,208,115
QCG,92,278,186
BCG,90,375,285
TSC,88,150,62
LHG,87,137,50
TIG,80,101,21
PVS,75,237,162
SJF,71,309,238
POM,69,69,0
VHM,66,489,423
LAS,66,93,27
AMD,63,176,113
MWG,62,391,329
FMC,61,348,287
VPB,60,452,392
FCN,60,194,134
DQC,57,69,12
LDG,55,378,323
CTR,55,175,120
STB,53,854,801
ART,53,95,42
G36,53,88,35
APH,51,142,91
AST,51,134,83
PET,49,231,182
TCM,49,79,30
LSS,48,109,61
LIG,48,72,24
DRH,44,265,221
HAH,44,132,88
CKG,43,258,215
PPC,42,99,57
VGI,42,89,47
NNC,41,97,56
HHP,40,62,22
NVB,39,48,9
DRC,37,204,167
DAG,37,70,33
AAV,37,62,25
VRC,36,82,46
VIX,35,112,77
EVG,34,47,13
PVT,33,185,152
BVS,33,137,104
CTF,31,31,0
VSC,30,57,27
VNP,30,54,24
NHH,30,35,5
SRA,29,53,24
PAS,29,44,15
ANV,28,123,95
VTR,28,54,26
SHS,27,146,119
TVC,27,60,33
EVE,27,59,32
VCI,26,282,256
BSR,26,208,182
SAM,26,26,0
DHM,25,50,25
HTN,24,85,61
VHC,23,152,129
QNS,21,41,20
DDG,21,39,18
HPX,21,27,6
CRE,20,59,39
BCC,20,34,14
VCP,20,33,13
DCL,18,79,61
DVN,17,107,90
HDC,16,158,142
DTD,16,38,22
AGM,16,23,7
TLH,15,102,87
AMV,15,80,65
LTG,15,57,42
PDR,14,137,123
VCS,14,88,74
TDT,14,44,30
TVN,14,29,15
IDI,13,154,141
VPI,13,44,31
KHP,13,22,9
HHS,12,178,166
HAP,12,52,40
HQC,11,174,163
IDJ,11,66,55
HND,11,53,42
CEO,10,60,50
ACV,10,47,37
NDN,10,44,34
OIL,10,25,15
MPT,10,15,5
GKM,10,10,0
EVF,9,32,23
QBS,9,24,15
GAB,9,15,6
NSC,9,15,6
BWE,8,135,127
NAF,8,16,8
VC3,8,12,4
GVR,7,437,430
BSI,7,41,34
SJD,7,29,22
BII,7,19,12
PGS,7,17,10
KMR,7,11,4
CNG,7,11,4
ASG,7,8,1
CMG,6,39,33
HII,6,38,32
TAR,6,35,29
ADG,6,20,14
PNJ,5,202,197
IDC,5,78,73
VIP,5,22,17
VLC,5,19,14
SJS,5,18,13
IBC,5,5,0
TXM,5,5,0
VEA,4,20,16
SGR,4,16,12
HCD,4,12,8
