Stock,Gap,B,S
MBB,2631,4587,1956
STB,2398,4253,1855
HDB,1789,3196,1407
TCB,1174,3532,2358
HBC,1133,2716,1583
DIG,1111,2230,1119
TPB,1022,1741,719
VPB,921,2325,1404
HCM,918,1855,937
TCH,912,1735,823
SSI,890,2937,2047
IDI,873,1426,553
HSG,838,1946,1108
DBC,808,2266,1458
LDG,780,2531,1751
HPG,755,3868,3113
ASM,698,1376,678
GEG,677,1200,523
BID,626,1506,880
VCI,581,1356,775
HT1,539,1232,693
PDR,516,1232,716
VHM,483,1536,1053
PLX,408,713,305
HDG,396,1293,897
VIX,393,538,145
TV2,386,628,242
DRH,377,790,413
HDC,376,765,389
VCB,365,1015,650
TLD,338,612,274
CTG,326,1548,1222
AGG,316,634,318
SZC,315,1133,818
GMD,301,1013,712
CEO,284,635,351
VND,283,1072,789
HAH,283,668,385
HUT,281,598,317
CCL,277,477,200
FRT,257,1237,980
VPG,255,493,238
SAB,250,415,165
SHS,236,514,278
BSI,209,383,174
VJC,208,425,217
CRC,208,349,141
DCL,207,308,101
BSR,203,590,387
NLG,200,547,347
TTB,197,667,470
GAS,191,631,440
DAG,165,339,174
STK,164,200,36
BCC,163,295,132
APG,153,275,122
HAG,144,1789,1645
IJC,143,764,621
KBC,141,1217,1076
NKG,139,996,857
TIG,127,191,64
PAS,117,143,26
FTS,110,581,471
DLG,109,457,348
AAV,107,166,59
LIG,103,140,37
CLG,101,101,0
FIT,100,476,376
EVG,99,159,60
SHB,98,468,370
CTS,96,438,342
VIB,92,351,259
AGR,90,760,670
HTN,90,240,150
SBS,88,165,77
PHR,87,499,412
VEA,87,175,88
VIC,86,695,609
VIG,83,108,25
NHH,82,131,49
IDC,81,277,196
DHM,80,142,62
MSN,71,728,657
BWE,70,528,458
NVB,69,136,67
VRC,63,149,86
LTG,62,249,187
TIP,62,119,57
C47,61,103,42
AAA,59,536,477
GVR,58,1368,1310
DDG,58,132,74
ELC,54,225,171
TNT,54,112,58
TLH,53,213,160
AMV,53,131,78
MSR,52,497,445
VCG,52,184,132
HVN,51,541,490
TAR,50,202,152
THG,50,75,25
CVN,49,70,21
PNJ,48,493,445
PHC,48,83,35
KOS,48,68,20
LSS,47,133,86
BIC,46,79,33
ABS,44,156,112
FPT,42,938,896
HAX,42,211,169
NT2,41,198,157
LGL,41,54,13
PAN,40,465,425
MBS,40,103,63
KLF,40,60,20
VCP,39,55,16
BVS,38,134,96
KDC,37,339,302
SMC,37,150,113
PFL,37,89,52
VPI,37,75,38
TCT,37,64,27
SIP,35,95,60
IMP,34,92,58
SD5,34,45,11
CTF,33,47,14
ORS,32,95,63
PXS,31,128,97
VTD,31,50,19
SAM,30,52,22
TYA,30,43,13
DSN,29,37,8
PVB,27,146,119
SRA,27,93,66
DVN,26,141,115
VTR,26,47,21
SCS,25,118,93
C4G,23,124,101
VSH,23,82,59
HPX,22,36,14
VC3,22,35,13
GKM,22,22,0
VCR,21,49,28
VPH,21,48,27
SFI,21,45,24
HHP,21,40,19
BVH,20,689,669
ADG,20,76,56
TGG,19,153,134
SJS,19,74,55
AGM,19,43,24
SDT,19,34,15
L14,18,97,79
PVP,18,50,32
CHP,18,28,10
LAS,17,44,27
DHA,17,41,24
TTH,17,27,10
YEG,16,48,32
BCG,15,395,380
TVC,15,123,108
QNS,15,47,32
TVS,15,21,6
VRG,14,29,15
TDG,13,183,170
CTR,13,171,158
EVE,13,30,17
BAX,13,27,14
SSN,13,25,12
VNG,12,55,43
HID,12,48,36
PVC,12,34,22
PXT,11,27,16
TDT,11,26,15
PVI,11,22,11
HAD,11,19,8
BOT,11,13,2
VGI,10,178,168
NHA,9,27,18
DS3,9,11,2
CIA,9,10,1
SBV,8,38,30
ABC,8,16,8
MPT,8,9,1
CSV,7,170,163
S99,7,33,26
ADS,7,15,8
SD9,7,7,0
CRE,6,225,219
CTI,6,182,176
ASG,6,41,35
KSH,6,37,31
TVN,6,35,29
PXL,6,27,21
MLS,6,27,21
MML,6,22,16
C69,6,20,14
MCH,6,19,13
HND,6,16,10
SPI,6,15,9
HDA,5,47,42
NTC,5,44,39
SWC,5,39,34
CNG,5,37,32
SAV,5,22,17
CMS,5,7,2
KMR,4,52,48
TVB,3,160,157
TLG,3,109,106
DTD,3,33,30
KLB,3,28,25
TDN,3,16,13
IBC,3,7,4
MFS,2,12,10
SLS,2,9,7
IDV,2,7,5
TTZ,2,4,2
ACV,1,152,151
VOC,1,140,139
FTM,1,121,120
PLC,1,113,112
DXP,1,44,43
GAB,1,17,16
SKH,1,8,7
CTP,1,3,2
MPC,0,27,27
SBA,0,26,26
ITQ,0,19,19
