Stock,Gap,B,S
HSG,212,352,140
MSN,202,339,137
VJC,121,142,21
FLC,89,167,78
HPG,82,391,309
APH,80,111,31
CTG,69,205,136
VIC,68,155,87
NVL,67,121,54
DCM,61,94,33
VNM,57,146,89
KDC,47,47,0
VHM,44,132,88
SBT,35,64,29
PNJ,31,130,99
VCB,29,38,9
NBB,26,27,1
NHH,25,28,3
FPT,23,61,38
GVR,21,97,76
TCB,19,484,465
ACB,19,75,56
HDB,19,49,30
HPX,16,28,12
VRE,15,104,89
VCI,15,43,28
VPI,15,22,7
IDC,15,18,3
SIP,14,22,8
CII,13,30,17
VPB,12,71,59
MWG,12,63,51
G36,12,30,18
MST,12,25,13
VCP,12,12,0
CRE,11,34,23
ITA,10,33,23
HAG,10,22,12
HCM,10,22,12
PVT,10,18,8
DPM,9,52,43
PVS,9,26,17
NLG,9,17,8
CRC,9,11,2
SHI,8,10,2
GKM,8,8,0
CVT,7,13,6
EVG,7,8,1
PDR,6,124,118
PLP,6,8,2
HUT,6,8,2
SHS,5,24,19
VSC,5,6,1
PTB,5,5,0
VC3,5,5,0
CTF,5,5,0
IBC,5,5,0
VND,4,13,9
TCM,4,9,5
HAI,4,9,5
BSR,4,8,4
VHC,4,7,3
PLX,4,7,3
VGI,3,19,16
TTF,3,15,12
LIX,3,10,7
FCN,3,10,7
CTR,3,7,4
NRC,3,5,2
FIT,3,4,1
OIL,3,4,1
DGC,2,15,13
MCH,2,7,5
GEG,2,5,3
VGT,2,5,3
TIG,2,5,3
NDN,2,4,2
PSH,2,4,2
NTL,2,3,1
CTI,2,2,0
AFX,2,2,0
THG,2,2,0
CKG,2,2,0
BID,1,42,41
DHC,1,17,16
SAB,1,14,13
NKG,1,8,7
TCL,1,6,5
SZC,1,6,5
OGC,1,4,3
SMC,1,3,2
KLF,1,2,1
SD9,1,2,1
DDG,1,2,1
BOT,1,2,1
HT1,1,2,1
DHT,1,1,0
VTR,1,1,0
YEG,1,1,0
POM,1,1,0
MLS,1,1,0
ANV,1,1,0
KLB,1,1,0
HVH,1,1,0
NAF,1,1,0
TSC,1,1,0
HLD,1,1,0
SLS,1,1,0
