Stock,Gap,B,S
TCH,2219,3048,829
GVR,1314,3167,1853
TCB,1209,4590,3381
HSG,1022,4727,3705
DGW,907,1425,518
VJC,548,907,359
POW,436,1442,1006
NVL,424,740,316
PDR,403,780,377
MBB,392,1110,718
KDH,348,460,112
CII,342,568,226
SBT,318,911,593
AGG,301,371,70
TIG,288,337,49
GEX,230,1629,1399
VIC,227,1149,922
VPB,211,1215,1004
HHS,205,495,290
REE,195,321,126
FPT,191,1388,1197
PHR,186,643,457
EVG,176,378,202
TCM,172,387,215
HDC,167,495,328
KSB,155,529,374
IDI,153,410,257
HT1,151,395,244
NHH,150,182,32
CRE,137,298,161
PLC,134,274,140
PVS,126,206,80
GTN,118,452,334
TLD,118,279,161
ACB,114,527,413
ANV,104,184,80
ASM,99,577,478
NAF,99,118,19
DHC,95,319,224
TSC,94,261,167
PAS,90,202,112
TNG,86,114,28
LDG,84,392,308
KDC,84,138,54
HHP,79,103,24
CTF,76,87,11
HBC,75,648,573
PFL,71,95,24
SZC,69,490,421
APH,69,222,153
HVN,69,192,123
VPG,67,163,96
TDC,66,260,194
SCR,63,210,147
VHC,58,194,136
AAA,56,292,236
HVH,56,81,25
TNI,52,149,97
PLX,51,148,97
VSC,50,126,76
PLP,50,113,63
VGI,48,121,73
SKG,48,76,28
CSV,47,176,129
SRA,45,168,123
DRI,45,116,71
LIX,44,113,69
BSI,43,54,11
TNT,42,128,86
SCS,42,113,71
PTB,41,177,136
PET,40,185,145
G36,40,93,53
MST,37,87,50
DPG,36,183,147
LTG,36,71,35
HAH,33,76,43
VIP,33,43,10
GKM,32,33,1
PHC,31,52,21
GEG,29,372,343
VC3,29,38,9
PGS,26,27,1
BVH,25,548,523
DAH,24,112,88
C32,23,173,150
SMC,23,71,48
QCG,23,70,47
SEA,23,40,17
KBC,21,354,333
ELC,21,50,29
SZL,21,31,10
HCD,20,88,68
QNS,20,62,42
CMG,20,40,20
AAV,20,40,20
ADG,20,39,19
THG,20,35,15
MPC,20,34,14
VOS,20,32,12
CTR,19,63,44
DQC,19,53,34
DVP,19,29,10
VHG,19,21,2
S99,18,28,10
DTD,17,66,49
VPI,17,33,16
IBC,17,21,4
HAX,16,134,118
BSR,16,64,48
KLF,16,35,19
ADS,16,20,4
VNP,15,37,22
SAV,15,29,14
ART,15,21,6
NVB,14,51,37
ABS,14,43,29
SNZ,14,20,6
CHP,14,18,4
SHB,13,139,126
DDG,13,74,61
NBB,13,47,34
SIP,13,39,26
BMC,13,23,10
HAD,13,16,3
KOS,12,43,31
DPR,12,40,28
HDA,12,31,19
PSH,12,25,13
TVN,12,15,3
VLC,12,14,2
VCR,11,26,15
POM,11,19,8
HPX,10,95,85
VIX,10,92,82
CEO,10,45,35
HII,10,39,29
AAS,10,35,25
CNG,10,14,4
EVE,10,10,0
SJF,9,143,134
VGT,9,32,23
BTD,9,28,19
PVC,9,23,14
SD9,9,20,11
VCP,9,12,3
AFX,8,91,83
NT2,8,70,62
LIG,8,46,38
NDN,8,32,24
ITD,8,32,24
TAC,8,29,21
SLS,8,26,18
MSR,8,23,15
TYA,8,17,9
APC,8,17,9
SHA,8,17,9
HID,8,11,3
KVC,8,9,1
NNC,7,25,18
AGM,7,24,17
BCM,7,15,8
KSH,7,15,8
VTR,7,12,5
CLG,7,12,5
VNA,7,12,5
MBS,7,9,2
DTA,7,7,0
TTZ,7,7,0
SHI,6,26,20
FID,6,8,2
HDG,5,333,328
FIR,5,67,62
CTS,5,40,35
NTP,5,24,19
TN1,5,11,6
KLB,5,9,4
DHT,5,9,4
SFI,5,7,2
PPC,4,123,119
VCG,4,37,33
BMI,4,34,30
VTD,4,31,27
VSH,4,27,23
PXL,4,20,16
PVB,4,19,15
BVS,4,17,13
ABI,4,13,9
NTC,4,6,2
SD5,4,5,1
PXT,4,4,0
DAG,3,81,78
VNE,3,14,11
MFS,3,8,5
CTP,3,8,5
PVV,3,8,5
SGP,3,7,4
KDF,3,7,4
SMB,3,5,2
BII,3,5,2
CMS,3,4,1
PXS,2,15,13
TDN,2,12,10
TTN,2,9,7
PVL,2,7,5
TXM,2,6,4
SPI,2,3,1
DRH,1,125,124
C4G,1,25,24
DVN,1,19,18
HND,1,17,16
DHA,1,15,14
BAX,1,11,10
MPT,1,10,9
DSN,1,9,8
PVI,1,9,8
KHP,1,5,4
SBS,1,4,3
PVP,1,4,3
SVN,1,2,1
SDD,1,1,0
LAS,0,48,48
C69,0,19,19
NHA,0,18,18
TVS,0,18,18
