Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
HPG,101,45,54,10,3,5,6,2,2,2,0,0
APH,70,67,2,5,5,0,1,1,0,0,0,0
ACB,67,37,30,23,10,13,5,2,3,1,0,1
CTG,36,27,7,4,1,1,3,0,1,2,0,0
STB,33,22,9,15,9,5,9,4,4,4,1,2
TCB,27,20,5,5,1,2,2,0,0,2,0,0
TCH,26,17,7,9,6,1,4,2,0,2,0,0
IDC,23,11,10,9,1,6,7,1,4,6,0,4
VPI,23,22,1,8,8,0,4,4,0,0,0,0
MBB,20,9,9,8,4,2,6,4,0,1,0,0
PDR,14,10,3,3,3,0,0,0,0,0,0,0
VPB,14,9,3,7,5,0,3,1,0,1,0,0
VCG,12,12,0,10,10,0,9,9,0,9,9,0
VNM,11,5,4,2,1,0,1,0,0,0,0,0
DHC,10,5,3,1,1,0,0,0,0,0,0,0
BSR,10,1,9,5,0,5,3,0,3,0,0,0
CTR,9,0,9,2,0,2,0,0,0,0,0,0
MWG,7,2,3,2,0,0,1,0,0,0,0,0
CVT,7,0,6,6,0,5,3,0,2,0,0,0
SHB,7,3,4,2,1,1,2,1,1,1,1,0
PLX,6,2,2,1,0,0,0,0,0,0,0,0
HSG,6,2,2,2,0,0,2,0,0,1,0,0
DGC,5,0,4,3,0,3,0,0,0,0,0,0
HDB,5,3,0,2,1,0,1,0,0,1,0,0
BID,5,3,1,1,0,0,1,0,0,1,0,0
ITA,5,2,2,1,0,0,1,0,0,0,0,0
VHM,5,0,3,3,0,1,3,0,1,1,0,0
GVR,5,0,3,2,0,0,2,0,0,0,0,0
SBT,4,0,2,2,0,0,1,0,0,1,0,0
VIX,4,1,2,1,0,0,1,0,0,1,0,0
HNG,4,3,0,2,1,0,0,0,0,0,0,0
PVD,4,1,1,2,0,0,0,0,0,0,0,0
PVS,4,0,4,2,0,2,0,0,0,0,0,0
SIP,4,0,4,2,0,2,0,0,0,0,0,0
SSI,4,1,1,2,1,0,1,0,0,0,0,0
DIG,4,1,2,1,0,0,1,0,0,1,0,0
TPB,4,0,2,1,0,0,1,0,0,0,0,0
GEX,4,0,2,1,0,0,1,0,0,1,0,0
VCS,3,1,1,0,0,0,0,0,0,0,0,0
VND,3,0,2,1,0,0,0,0,0,0,0,0
PNJ,3,1,0,1,0,0,0,0,0,0,0,0
HBC,3,0,1,2,0,1,1,0,0,0,0,0
FPT,3,1,0,2,0,0,1,0,0,1,0,0
CTD,3,1,1,1,0,0,0,0,0,0,0,0
VRE,3,0,1,2,0,0,2,0,0,0,0,0
GAS,3,0,1,1,0,0,1,0,0,1,0,0
G36,3,1,2,0,0,0,0,0,0,0,0,0
PVT,3,0,1,0,0,0,0,0,0,0,0,0
HCM,3,0,1,1,0,0,0,0,0,0,0,0
LCG,2,0,0,0,0,0,0,0,0,0,0,0
TNG,2,1,0,1,1,0,1,1,0,0,0,0
VJC,2,0,0,1,0,0,1,0,0,1,0,0
SAB,2,1,0,0,0,0,0,0,0,0,0,0
SHS,2,0,2,0,0,0,0,0,0,0,0,0
BVH,2,1,0,1,0,0,0,0,0,0,0,0
NLG,2,1,0,2,1,0,1,1,0,0,0,0
KDH,2,0,0,0,0,0,0,0,0,0,0,0
HDG,2,0,1,2,0,1,2,0,1,1,0,1
CRE,2,0,0,0,0,0,0,0,0,0,0,0
NTC,2,2,0,1,1,0,0,0,0,0,0,0
NVL,2,0,1,1,0,0,0,0,0,0,0,0
VIC,2,0,0,1,0,0,1,0,0,0,0,0
DXG,1,0,0,1,0,0,0,0,0,0,0,0
CTI,1,0,0,0,0,0,0,0,0,0,0,0
TCM,1,0,0,1,0,0,1,0,0,1,0,0
CEO,1,1,0,0,0,0,0,0,0,0,0,0
PTB,1,0,0,0,0,0,0,0,0,0,0,0
DPR,1,0,0,1,0,0,0,0,0,0,0,0
VHC,1,0,0,0,0,0,0,0,0,0,0,0
ACV,1,0,1,0,0,0,0,0,0,0,0,0
VGI,1,0,1,0,0,0,0,0,0,0,0,0
POM,1,0,0,0,0,0,0,0,0,0,0,0
NDN,1,0,1,0,0,0,0,0,0,0,0,0
VIB,1,0,0,0,0,0,0,0,0,0,0,0
SCR,1,0,0,0,0,0,0,0,0,0,0,0
SCS,1,0,1,0,0,0,0,0,0,0,0,0
FLC,1,0,0,0,0,0,0,0,0,0,0,0
D2D,1,0,0,1,0,0,0,0,0,0,0,0
TVC,1,1,0,0,0,0,0,0,0,0,0,0
BCM,1,0,0,0,0,0,0,0,0,0,0,0
SGP,1,1,0,1,1,0,0,0,0,0,0,0
KOS,1,1,0,1,1,0,0,0,0,0,0,0
KBC,1,1,0,0,0,0,0,0,0,0,0,0
SZC,1,0,0,0,0,0,0,0,0,0,0,0
VCB,1,0,0,1,0,0,1,0,0,1,0,0
POW,1,0,0,1,0,0,0,0,0,0,0,0
DRC,1,0,0,0,0,0,0,0,0,0,0,0
AAA,1,0,0,0,0,0,0,0,0,0,0,0
HDC,1,1,0,0,0,0,0,0,0,0,0,0
GMD,1,0,0,0,0,0,0,0,0,0,0,0
LDG,1,0,0,0,0,0,0,0,0,0,0,0
MSN,1,0,0,1,0,0,1,0,0,1,0,0
NKG,1,0,1,0,0,0,0,0,0,0,0,0
VTP,1,0,1,0,0,0,0,0,0,0,0,0
IDI,1,0,0,0,0,0,0,0,0,0,0,0
PHR,1,0,0,1,0,0,1,0,0,0,0,0
TDM,1,0,1,0,0,0,0,0,0,0,0,0
EIB,1,0,0,1,0,0,1,0,0,1,0,0
HT1,1,0,0,0,0,0,0,0,0,0,0,0
ASM,1,0,0,1,0,0,0,0,0,0,0,0
HPX,1,0,0,0,0,0,0,0,0,0,0,0
SHI,1,1,0,0,0,0,0,0,0,0,0,0
OGC,1,0,0,0,0,0,0,0,0,0,0,0
DDG,1,1,0,0,0,0,0,0,0,0,0,0
APG,1,0,0,1,0,0,0,0,0,0,0,0
BCG,1,0,0,0,0,0,0,0,0,0,0,0
NTP,1,1,0,0,0,0,0,0,0,0,0,0
HAG,1,0,0,1,0,0,1,0,0,1,0,0
DBC,1,0,0,0,0,0,0,0,0,0,0,0
BMI,1,0,0,0,0,0,0,0,0,0,0,0
HAP,0,0,0,0,0,0,0,0,0,0,0,0
VEA,0,0,0,0,0,0,0,0,0,0,0,0
PGN,0,0,0,0,0,0,0,0,0,0,0,0
VGT,0,0,0,0,0,0,0,0,0,0,0,0
VGC,0,0,0,0,0,0,0,0,0,0,0,0
CLG,0,0,0,0,0,0,0,0,0,0,0,0
HCD,0,0,0,0,0,0,0,0,0,0,0,0
SZL,0,0,0,0,0,0,0,0,0,0,0,0
HVN,0,0,0,0,0,0,0,0,0,0,0,0
SKH,0,0,0,0,0,0,0,0,0,0,0,0
AGR,0,0,0,0,0,0,0,0,0,0,0,0
FIT,0,0,0,0,0,0,0,0,0,0,0,0
QCG,0,0,0,0,0,0,0,0,0,0,0,0
MML,0,0,0,0,0,0,0,0,0,0,0,0
IDJ,0,0,0,0,0,0,0,0,0,0,0,0
NCT,0,0,0,0,0,0,0,0,0,0,0,0
IDV,0,0,0,0,0,0,0,0,0,0,0,0
KDC,0,0,0,0,0,0,0,0,0,0,0,0
NVB,0,0,0,0,0,0,0,0,0,0,0,0
REE,0,0,0,0,0,0,0,0,0,0,0,0
DLG,0,0,0,0,0,0,0,0,0,0,0,0
DMC,0,0,0,0,0,0,0,0,0,0,0,0
PGS,0,0,0,0,0,0,0,0,0,0,0,0
SAM,0,0,0,0,0,0,0,0,0,0,0,0
SBV,0,0,0,0,0,0,0,0,0,0,0,0
SBA,0,0,0,0,0,0,0,0,0,0,0,0
TDG,0,0,0,0,0,0,0,0,0,0,0,0
DTA,0,0,0,0,0,0,0,0,0,0,0,0
VRC,0,0,0,0,0,0,0,0,0,0,0,0
HUT,0,0,0,0,0,0,0,0,0,0,0,0
AMV,0,0,0,0,0,0,0,0,0,0,0,0
VOS,0,0,0,0,0,0,0,0,0,0,0,0
LIG,0,0,0,0,0,0,0,0,0,0,0,0
SDD,0,0,0,0,0,0,0,0,0,0,0,0
APC,0,0,0,0,0,0,0,0,0,0,0,0
HHP,0,0,0,0,0,0,0,0,0,0,0,0
AAV,0,0,0,0,0,0,0,0,0,0,0,0
S99,0,0,0,0,0,0,0,0,0,0,0,0
VCR,0,0,0,0,0,0,0,0,0,0,0,0
TXM,0,0,0,0,0,0,0,0,0,0,0,0
VC3,0,0,0,0,0,0,0,0,0,0,0,0
TTN,0,0,0,0,0,0,0,0,0,0,0,0
DPM,0,0,0,0,0,0,0,0,0,0,0,0
HSL,0,0,0,0,0,0,0,0,0,0,0,0
SEA,0,0,0,0,0,0,0,0,0,0,0,0
TBC,0,0,0,0,0,0,0,0,0,0,0,0
TLH,0,0,0,0,0,0,0,0,0,0,0,0
BII,0,0,0,0,0,0,0,0,0,0,0,0
TNA,0,0,0,0,0,0,0,0,0,0,0,0
NT2,0,0,0,0,0,0,0,0,0,0,0,0
BMP,0,0,0,0,0,0,0,0,0,0,0,0
PVC,0,0,0,0,0,0,0,0,0,0,0,0
TV2,0,0,0,0,0,0,0,0,0,0,0,0
TVS,0,0,0,0,0,0,0,0,0,0,0,0
SSN,0,0,0,0,0,0,0,0,0,0,0,0
DST,0,0,0,0,0,0,0,0,0,0,0,0
HHS,0,0,0,0,0,0,0,0,0,0,0,0
VCP,0,0,0,0,0,0,0,0,0,0,0,0
VNA,0,0,0,0,0,0,0,0,0,0,0,0
TTZ,0,0,0,0,0,0,0,0,0,0,0,0
TNT,0,0,0,0,0,0,0,0,0,0,0,0
BWE,0,0,0,0,0,0,0,0,0,0,0,0
PVV,0,0,0,0,0,0,0,0,0,0,0,0
PSD,0,0,0,0,0,0,0,0,0,0,0,0
BOT,0,0,0,0,0,0,0,0,0,0,0,0
NHA,0,0,0,0,0,0,0,0,0,0,0,0
LGL,0,0,0,0,0,0,0,0,0,0,0,0
KSH,0,0,0,0,0,0,0,0,0,0,0,0
BVS,0,0,0,0,0,0,0,0,0,0,0,0
PSH,0,0,0,0,0,0,0,0,0,0,0,0
ASG,0,0,0,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0,0,0,0
MSH,0,0,0,0,0,0,0,0,0,0,0,0
QNS,0,0,0,0,0,0,0,0,0,0,0,0
STH,0,0,0,0,0,0,0,0,0,0,0,0
CRC,0,0,0,0,0,0,0,0,0,0,0,0
HAI,0,0,0,0,0,0,0,0,0,0,0,0
TDT,0,0,0,0,0,0,0,0,0,0,0,0
