Stock,Gap,B,S
VHM,1893,5078,3185
TPB,1169,2235,1066
TCH,1069,3976,2907
HSG,1046,4075,3029
HBC,1022,4182,3160
NVL,935,1317,382
BWE,838,1794,956
PVD,660,3187,2527
MBB,653,2505,1852
DPM,508,1685,1177
VIX,504,786,282
SSI,399,2569,2170
VPB,349,2180,1831
NVB,345,367,22
HNG,318,1264,946
KDF,289,416,127
TCB,278,5059,4781
APH,275,624,349
SBT,261,1318,1057
GMD,248,1160,912
HAX,229,768,539
IJC,226,756,530
TVC,226,412,186
ABS,217,351,134
VHC,207,1023,816
TV2,198,572,374
TCM,169,688,519
TIG,162,249,87
VRE,151,2274,2123
KDC,143,481,338
APG,139,211,72
BSR,133,441,308
PLC,130,307,177
MST,128,146,18
PDR,127,417,290
DXP,123,254,131
DAG,122,234,112
STK,117,283,166
VJC,107,783,676
TDM,100,614,514
C69,91,141,50
CTF,91,106,15
PET,89,1191,1102
AAV,88,151,63
DVN,82,212,130
BMI,78,786,708
CEO,78,178,100
DST,78,135,57
BFC,77,468,391
NT2,77,372,295
DHM,72,152,80
VOS,69,153,84
TDC,66,418,352
EVG,66,190,124
VGI,64,570,506
TSC,63,158,95
HHP,60,107,47
LHG,58,322,264
PAS,57,160,103
SHB,56,485,429
G36,56,165,109
KHP,55,106,51
PHC,48,79,31
QNS,46,152,106
VCB,45,1580,1535
HPX,44,68,24
PVS,43,813,770
SJF,41,214,173
VPI,41,110,69
MBG,40,143,103
ACV,39,225,186
PVC,39,87,48
CRC,37,148,111
VC3,37,47,10
VTP,36,192,156
PFL,36,49,13
DDG,35,94,59
ILB,34,246,212
SCS,33,120,87
PVB,30,87,57
VIG,27,30,3
NRC,26,89,63
PAN,25,146,121
NDN,22,128,106
HUT,22,91,69
VNG,22,65,43
BII,22,55,33
CTP,22,44,22
TLH,21,131,110
PXL,21,59,38
VCP,21,49,28
VHE,21,38,17
BTD,20,28,8
DSN,19,44,25
IBC,19,22,3
DNM,18,34,16
QTP,18,24,6
PC1,16,347,331
NTC,16,71,55
KOS,16,55,39
GKM,16,16,0
PSH,15,31,16
ABC,14,45,31
VCG,13,125,112
VLC,12,75,63
MBS,12,31,19
MLS,11,37,26
PSD,11,30,19
CIA,11,19,8
BMC,10,40,30
ASG,10,26,16
VOC,9,129,120
STH,9,38,29
SFG,8,23,15
TTZ,8,11,3
VCI,7,592,585
IDC,7,103,96
DTD,7,87,80
PVP,7,33,26
ORS,7,14,7
SFI,7,12,5
ABI,7,11,4
DHT,7,10,3
TN1,7,9,2
TCW,6,34,28
THG,6,25,19
PXT,6,23,17
GDT,6,20,14
VCR,5,160,155
NHA,5,47,42
LGL,5,18,13
ADS,5,16,11
PVV,5,15,10
SEA,5,12,7
SMB,4,20,16
HCM,3,1634,1631
CTI,3,253,250
SDT,3,8,5
DQC,2,31,29
HAD,2,7,5
TVS,2,6,4
SKH,2,3,1
CMS,2,3,1
TNA,1,86,85
APC,1,27,26
VRG,1,16,15
PAC,1,10,9
PVL,1,2,1
HID,0,28,28
TDT,0,27,27
SD9,0,22,22
