Stock,Count,Buy,Sell,2T,2TB,2TS,3T,3TB,3TS,5T,5TB,5TS
TCB,65,34,29,14,8,4,5,3,0,2,0,0
HPG,58,18,38,5,1,2,5,1,2,2,0,0
ACB,57,31,26,17,11,6,9,5,4,7,4,3
MBB,32,16,14,6,2,2,3,1,0,2,0,0
CTG,21,4,15,2,0,0,2,0,0,2,0,0
PVS,15,3,11,11,2,8,7,0,6,3,0,2
VCG,12,0,12,12,0,12,12,0,12,12,0,12
STB,12,4,6,2,0,0,2,0,0,1,0,0
VPB,10,4,4,3,1,0,2,0,0,2,0,0
SHS,10,4,4,1,0,1,0,0,0,0,0,0
SHB,8,1,6,3,0,2,1,0,0,1,0,0
VNM,8,1,5,4,1,1,2,0,0,1,0,0
DIG,8,5,1,2,1,0,1,0,0,1,0,0
VHM,7,4,1,2,0,0,1,0,0,1,0,0
SSI,7,2,4,2,1,0,1,0,0,1,0,0
HDB,6,1,3,2,0,0,2,0,0,1,0,0
IDC,6,3,3,1,1,0,0,0,0,0,0,0
TCH,6,1,3,3,0,1,2,0,0,2,0,0
MWG,6,4,0,2,0,0,2,0,0,2,0,0
CTR,6,4,2,1,0,1,0,0,0,0,0,0
PVD,6,1,3,1,0,0,1,0,0,1,0,0
KDH,5,1,2,2,0,0,2,0,0,1,0,0
FPT,5,1,2,3,0,1,2,0,0,2,0,0
VJC,5,0,3,3,0,1,1,0,0,1,0,0
CVT,5,0,4,2,0,1,1,0,0,0,0,0
VRE,4,0,2,1,0,0,1,0,0,1,0,0
GEX,4,1,2,1,0,0,1,0,0,1,0,0
HSG,4,1,1,2,0,0,1,0,0,1,0,0
TPB,4,0,2,2,0,0,1,0,0,1,0,0
PDR,4,0,2,2,0,0,1,0,0,0,0,0
ITA,3,1,0,1,0,0,0,0,0,0,0,0
DXG,3,1,0,1,0,0,1,0,0,1,0,0
VCB,3,1,1,1,0,0,1,0,0,1,0,0
CTD,3,1,0,1,0,0,1,0,0,0,0,0
HBC,3,1,0,1,0,0,1,0,0,0,0,0
PNJ,3,1,0,2,0,0,2,0,0,2,0,0
MSN,3,1,0,1,0,0,1,0,0,1,0,0
CRE,3,1,0,0,0,0,0,0,0,0,0,0
GVR,3,0,2,1,0,0,1,0,0,0,0,0
VIC,3,1,0,1,0,0,1,0,0,1,0,0
GMD,3,0,1,2,0,0,2,0,0,1,0,0
VIX,3,0,2,2,0,1,1,0,1,0,0,0
POW,3,1,0,1,0,0,1,0,0,0,0,0
DBC,3,1,1,1,0,0,1,0,0,0,0,0
HDG,2,0,0,0,0,0,0,0,0,0,0,0
HNG,2,0,0,0,0,0,0,0,0,0,0,0
KOS,2,2,0,0,0,0,0,0,0,0,0,0
NTC,2,2,0,0,0,0,0,0,0,0,0,0
BVH,2,0,1,1,0,0,1,0,0,0,0,0
D2D,2,0,0,0,0,0,0,0,0,0,0,0
GAS,2,1,0,1,0,0,1,0,0,1,0,0
G36,2,2,0,1,1,0,0,0,0,0,0,0
REE,2,0,0,1,0,0,1,0,0,1,0,0
NLG,2,0,0,1,0,0,0,0,0,0,0,0
VGC,2,1,0,0,0,0,0,0,0,0,0,0
AAA,2,1,0,0,0,0,0,0,0,0,0,0
HAH,2,0,0,0,0,0,0,0,0,0,0,0
SHI,2,2,0,1,1,0,0,0,0,0,0,0
NKG,2,0,0,0,0,0,0,0,0,0,0,0
PLX,2,0,1,1,0,0,0,0,0,0,0,0
SIP,2,1,1,0,0,0,0,0,0,0,0,0
DGC,2,0,1,0,0,0,0,0,0,0,0,0
MCH,2,1,1,0,0,0,0,0,0,0,0,0
TNG,2,0,1,1,0,0,1,0,0,0,0,0
VHC,2,1,0,0,0,0,0,0,0,0,0,0
HCM,1,0,0,1,0,0,1,0,0,1,0,0
ACV,1,1,0,0,0,0,0,0,0,0,0,0
DPM,1,0,0,0,0,0,0,0,0,0,0,0
HHP,1,0,1,0,0,0,0,0,0,0,0,0
VGI,1,0,1,0,0,0,0,0,0,0,0,0
VIB,1,0,0,1,0,0,0,0,0,0,0,0
SCR,1,0,0,0,0,0,0,0,0,0,0,0
GTN,1,0,0,1,0,0,1,0,0,0,0,0
CEO,1,0,1,0,0,0,0,0,0,0,0,0
TTF,1,0,1,0,0,0,0,0,0,0,0,0
NVL,1,0,0,1,0,0,1,0,0,1,0,0
FLC,1,0,0,0,0,0,0,0,0,0,0,0
VCS,1,0,0,0,0,0,0,0,0,0,0,0
SAB,1,0,0,1,0,0,1,0,0,1,0,0
IDI,1,0,0,0,0,0,0,0,0,0,0,0
DCM,1,0,0,1,0,0,0,0,0,0,0,0
FCN,1,0,0,0,0,0,0,0,0,0,0,0
CII,1,0,0,1,0,0,1,0,0,0,0,0
HAG,1,0,0,1,0,0,1,0,0,0,0,0
TDC,1,0,1,0,0,0,0,0,0,0,0,0
PVT,1,0,0,0,0,0,0,0,0,0,0,0
PET,1,0,0,0,0,0,0,0,0,0,0,0
