Stock,Gap,B,S
CTD,487,1175,688
SCR,287,695,408
VIC,248,840,592
D2D,243,503,260
TLD,178,356,178
VJC,172,523,351
KDC,167,226,59
HVH,166,234,68
VCB,147,719,572
GMD,145,591,446
DST,141,170,29
BCG,117,275,158
VIX,117,244,127
TIG,92,108,16
NT2,91,145,54
NVL,88,340,252
CVT,87,198,111
APG,80,129,49
TDM,77,266,189
VEA,77,157,80
DAG,70,96,26
DHM,68,112,44
HNG,57,224,167
NHH,55,70,15
APH,52,178,126
SKG,47,103,56
AAS,45,99,54
DHA,45,84,39
LTG,44,184,140
EVG,41,137,96
CTF,41,47,6
SHS,37,234,197
ADG,36,54,18
MSH,33,74,41
NVB,33,45,12
SLS,29,46,17
AMV,28,56,28
HPX,25,40,15
HHP,24,48,24
AGR,22,171,149
NCT,20,39,19
DDG,19,43,24
VNA,19,40,21
VSC,18,133,115
VC3,17,20,3
SIP,16,47,31
SBA,16,27,11
DNM,15,49,34
AFX,15,23,8
GKM,15,15,0
ABS,14,53,39
MST,14,39,25
TYA,13,22,9
TVC,12,44,32
HDA,12,29,17
BSR,11,75,64
LSS,11,29,18
AAV,11,26,15
PFL,11,18,7
IDI,10,487,477
BWE,10,127,117
IDC,10,25,15
ILB,9,115,106
PWA,9,59,50
TA9,9,19,10
VPH,9,16,7
DIG,8,796,788
DVP,8,40,32
VOS,8,13,5
TNT,7,18,11
NAF,7,18,11
FTM,7,13,6
APC,6,19,13
VTR,6,19,13
PSH,6,14,8
SBV,6,12,6
BCC,6,12,6
PET,5,852,847
PGS,5,14,9
NTC,5,11,6
MPT,5,7,2
IBC,5,5,0
VTD,4,47,43
HII,4,32,28
VLC,4,21,17
NHA,4,20,16
HID,4,10,6
SSN,4,7,3
TTH,4,7,3
PHC,3,41,38
HUT,3,26,23
TTN,3,22,19
PGN,3,22,19
SWC,3,19,16
DBD,3,18,15
VHE,3,8,5
PXT,3,4,1
KLB,3,4,1
TVS,3,3,0
EIB,2,67,65
PAN,2,57,55
NDN,2,46,44
PVC,2,28,26
TCW,2,14,12
SHI,2,14,12
KSH,2,11,9
SNZ,2,6,4
HAD,2,5,3
PVI,2,5,3
ADS,2,4,2
VCP,2,3,1
CMS,2,3,1
C47,1,52,51
NSC,1,33,32
VGC,1,32,31
BVS,1,14,13
TVN,1,14,13
CVN,1,5,4
CTP,1,3,2
DTA,1,2,1
EVE,1,2,1
VOC,0,61,61
KMR,0,28,28
ELC,0,25,25
ASP,0,8,8
DS3,0,4,4
SD5,0,3,3
QBS,0,3,3
FOX,0,3,3
MFS,0,3,3
PVV,0,1,1
PVL,0,1,1
SPI,0,0,0
HSL,-1,19,20
GAB,-1,18,19
TBC,-1,12,13
PXL,-1,8,9
DCL,-1,7,8
VGS,-1,6,7
BII,-1,4,5
DSN,-1,4,5
KHP,-1,3,4
BOT,-1,3,4
TN1,-1,2,3
TTZ,-1,1,2
NRC,-2,16,18
PAC,-2,15,17
HND,-2,11,13
NTP,-2,8,10
ABI,-2,6,8
SKH,-2,3,5
SFI,-2,2,4
VRG,-2,2,4
QTP,-2,2,4
PVP,-2,1,3
S99,-2,1,3
DTD,-3,24,27
EVF,-3,7,10
PSD,-3,2,5
SMB,-3,1,4
ORS,-3,1,4
SDT,-3,0,3
SD9,-3,0,3
QCG,-4,43,47
VCR,-4,13,17
CIA,-4,9,13
