Stock,Gap,B,S
HPG,1928,3503,1575
DXG,1125,1740,615
TCB,1025,2250,1225
HSG,1013,2216,1203
DPM,940,1514,574
CTG,691,1410,719
DCM,677,1130,453
DGC,656,1454,798
NTL,512,711,199
TPB,489,668,179
GEX,444,1409,965
TCH,411,791,380
FPT,364,834,470
VHM,327,1282,955
VIX,314,349,35
SSI,303,682,379
HCM,281,538,257
VJC,279,391,112
AAA,258,422,164
PDR,243,491,248
KSB,228,471,243
POW,224,702,478
VRE,198,760,562
GTN,198,464,266
VHC,194,555,361
VCB,191,369,178
DIG,188,405,217
TCM,183,415,232
ROS,179,604,425
VNM,178,624,446
VIC,170,401,231
GMD,165,475,310
PC1,165,384,219
CTD,160,496,336
HNG,155,315,160
APH,155,238,83
IJC,149,283,134
NKG,146,436,290
IDI,141,273,132
FMC,140,322,182
PVD,138,435,297
STB,136,719,583
KDC,130,196,66
GEG,129,237,108
IMP,128,228,100
HBC,121,491,370
PTB,119,171,52
DRC,116,243,127
NVL,113,399,286
PHR,113,335,222
JVC,113,152,39
DHC,112,181,69
SBT,111,431,320
BVH,111,375,264
ANV,111,215,104
AGG,104,197,93
HPX,102,104,2
PVT,100,479,379
CTR,100,240,140
TDH,100,191,91
GAS,98,338,240
CII,97,183,86
CVT,95,217,122
SCR,94,145,51
TLD,92,210,118
KBC,90,228,138
PVS,87,212,125
SKG,85,101,16
BMP,84,142,58
HDB,73,338,265
CSV,70,116,46
MSH,70,97,27
CRE,69,134,65
DRH,68,189,121
FCN,66,179,113
DAG,65,111,46
STK,65,105,40
ITA,62,440,378
GIL,62,319,257
REE,61,182,121
FRT,61,170,109
DGW,58,475,417
NHH,56,63,7
BFC,55,167,112
NVB,53,55,2
TVC,52,75,23
PLC,48,124,76
TLG,44,60,16
VND,43,223,180
KLF,43,220,177
PLP,39,69,30
BSR,39,68,29
PLX,38,112,74
VGI,38,85,47
TIG,38,65,27
CTF,37,47,10
TNG,36,150,114
KMR,36,70,34
AGR,33,71,38
YEG,33,50,17
ACB,32,237,205
EVE,32,40,8
SMC,31,79,48
NAF,31,59,28
AST,29,61,32
FIT,28,90,62
BID,27,390,363
MBB,26,476,450
SAV,26,46,20
TCL,25,117,92
HAH,25,73,48
TV2,25,48,23
AAS,24,35,11
HDC,21,272,251
D2D,21,104,83
SEA,20,29,9
NT2,19,46,27
AAV,19,43,24
MCH,19,39,20
LAS,19,29,10
ABC,19,21,2
SIP,18,48,30
TDC,17,73,56
TSC,17,59,42
NBB,17,29,12
SHA,17,22,5
ITD,17,19,2
IBC,17,17,0
LTG,16,63,47
FIR,16,32,16
TAC,16,30,14
QNS,16,29,13
PSH,16,20,4
VIG,16,18,2
QBS,16,17,1
ILB,15,28,13
PGN,15,23,8
VRC,14,29,15
VEA,14,28,14
VC3,14,19,5
PHC,14,19,5
HID,14,16,2
SZC,13,303,290
SHS,13,75,62
NSC,13,43,30
ACV,13,34,21
VGT,13,32,19
GKM,13,13,0
VCS,12,77,65
BCG,12,51,39
NDN,12,37,25
VIP,12,23,11
IDC,12,22,10
CMG,11,47,36
MPT,11,13,2
CMX,10,97,87
TNT,10,39,29
SFG,10,15,5
TDN,10,11,1
VPG,9,106,97
FTS,9,53,44
QCG,9,49,40
LIG,9,26,17
SHI,9,17,8
PVC,9,17,8
BSI,9,12,3
CNG,9,11,2
ADS,9,9,0
MST,8,58,50
CKG,8,56,48
VNE,8,27,19
PSD,8,16,8
STH,8,15,7
DBD,8,14,6
CHP,8,9,1
KHP,8,9,1
VPB,7,563,556
DTD,7,45,38
HHP,7,35,28
TGG,7,31,24
ACL,7,31,24
ABI,7,10,3
VTR,7,9,2
SD6,7,7,0
CEO,6,23,17
DXP,6,15,9
DCL,6,10,4
QTP,6,8,2
KSH,6,8,2
GDT,5,20,15
SBA,5,19,14
PVI,5,5,0
SJF,4,75,71
TAR,4,68,64
MSR,4,31,27
SJS,4,21,17
CTS,4,11,7
DSN,4,10,6
AGM,4,7,3
VLC,4,7,3
SPI,4,5,1
ASP,4,5,1
KLB,4,4,0
MPC,3,29,26
HLD,3,14,11
C69,3,11,8
VNP,3,10,7
TVN,3,9,6
SNZ,3,4,1
DHT,3,3,0
DRI,2,41,39
HII,2,37,35
PWA,2,32,30
CSM,2,18,16
HSL,2,8,6
POM,2,6,4
NTC,2,5,3
BCC,2,4,2
TVS,2,3,1
FOX,2,3,1
TN1,2,2,0
SSN,2,2,0
SWC,2,2,0
EIB,1,33,32
AMV,1,31,30
BMC,1,18,17
THG,1,14,13
PFL,1,14,13
DNM,1,13,12
OIL,1,11,10
PGS,1,3,2
DTA,1,3,2
PXT,1,2,1
TCW,1,2,1
TTZ,1,2,1
PVP,1,1,0
TDG,0,35,35
NRC,0,14,14
CIA,0,4,4
SGP,0,2,2
TA9,0,2,2
BOT,0,0,0
SMB,0,0,0
PVL,0,0,0
HAI,-1,206,207
EVG,-1,77,78
ELC,-1,40,41
MLS,-1,15,16
VTD,-1,14,15
NNC,-1,9,10
SLS,-1,6,7
VGS,-1,6,7
HND,-1,6,7
PVV,-1,5,6
CVN,-1,4,5
ORS,-1,3,4
SD5,-1,2,3
DVN,-1,2,3
