Stock,Gap,B,S
APH,209,393,184
HPG,157,482,325
PDR,99,165,66
HDB,80,244,164
TCB,77,253,176
VJC,74,95,21
MWG,72,178,106
NVL,58,86,28
DXG,51,110,59
DIG,48,126,78
MBB,47,117,70
KDC,44,47,3
HDG,40,81,41
TCH,37,79,42
PET,37,79,42
GMD,37,61,24
POW,35,212,177
HCM,35,66,31
FPT,30,97,67
NLG,30,37,7
VPI,29,38,9
NVB,28,40,12
ART,28,34,6
VIC,27,64,37
CTG,24,174,150
BMP,24,34,10
SSI,17,59,42
NHH,17,17,0
BMI,15,18,3
CMX,15,16,1
CRE,14,31,17
PNJ,13,63,50
VND,12,48,36
BVH,12,29,17
REE,12,21,9
SHI,12,12,0
KDH,11,55,44
HDC,11,21,10
IDC,10,37,27
MCH,10,17,7
EVG,10,10,0
ACB,9,75,66
HBC,8,64,56
ITA,8,36,28
SIP,8,21,13
LCG,8,21,13
AFX,7,12,5
HAH,7,10,3
BCM,7,7,0
VCI,6,37,31
TNG,6,24,18
PTB,6,10,4
HPX,6,8,2
FLC,5,15,10
TDM,5,8,3
NTC,5,8,3
ADG,4,6,2
HQC,4,5,1
FTS,4,5,1
DRH,4,4,0
HAI,4,4,0
KSB,3,18,15
TVC,3,12,9
NTP,3,6,3
HVN,3,5,2
HTN,3,5,2
CTI,3,3,0
SJS,3,3,0
SJD,3,3,0
DHA,3,3,0
HND,3,3,0
FMC,2,7,5
YEG,2,6,4
VCP,2,5,3
AGR,2,5,3
DVN,2,4,2
VGC,2,3,1
C4G,2,3,1
EIB,2,2,0
TCL,2,2,0
NSC,2,2,0
IMP,2,2,0
IBC,2,2,0
D2D,1,20,19
KBC,1,19,18
VSC,1,5,4
MSR,1,5,4
VOC,1,3,2
MBG,1,3,2
AMD,1,3,2
OIL,1,2,1
PLP,1,2,1
TLG,1,2,1
MBS,1,2,1
SD5,1,2,1
SMB,1,1,0
BVS,1,1,0
VRC,1,1,0
DHT,1,1,0
FIR,1,1,0
HHP,1,1,0
VNG,1,1,0
AAS,1,1,0
GAB,1,1,0
PPC,1,1,0
TIP,1,1,0
BMC,1,1,0
PSH,1,1,0
NCT,1,1,0
NKG,0,68,68
SHS,0,48,48
PHR,0,25,25
IDI,0,4,4
TTF,0,4,4
PAS,0,4,4
C32,0,3,3
CRC,0,2,2
LAS,0,1,1
BCC,0,1,1
VGS,0,1,1
NT2,0,1,1
LIX,0,1,1
