Stock,Gap,B,S
HSG,1920,3538,1618
FLC,1906,3206,1300
CTG,683,1903,1220
HPG,666,2347,1681
DCM,647,1362,715
MSN,631,1444,813
VJC,605,779,174
DPM,554,1118,564
GEX,535,1416,881
NVL,374,635,261
POW,366,981,615
PNJ,345,1640,1295
CII,327,518,191
VCB,319,574,255
VNM,299,1158,859
MWG,297,702,405
OGC,283,440,157
ITA,282,1017,735
BID,250,955,705
VRE,231,1136,905
GVR,220,1044,824
G36,218,320,102
FCN,205,390,185
MST,202,265,63
VIC,192,639,447
VPB,185,762,577
EVG,179,307,128
VCI,175,486,311
DGW,175,437,262
HHS,173,360,187
VHM,162,873,711
VND,159,280,121
HAI,155,438,283
STB,149,854,705
KDH,140,280,140
HAR,139,292,153
FPT,138,756,618
FIT,136,292,156
APH,135,280,145
DHC,131,305,174
LCG,119,297,178
HAX,116,303,187
NHH,115,126,11
STK,114,134,20
TCL,110,252,142
DAG,101,160,59
DRH,95,186,91
BSR,91,122,31
PLX,88,178,90
IMP,87,176,89
KDC,87,148,61
SAB,86,293,207
NAF,85,101,16
PDR,81,424,343
SBT,80,486,406
HNG,79,256,177
NTL,79,137,58
NKG,76,279,203
TCM,73,215,142
LAS,72,138,66
TVC,72,111,39
PHC,71,96,25
TSC,70,174,104
PAS,67,202,135
DRI,65,146,81
VHC,65,126,61
HCM,64,331,267
CMX,62,133,71
BFC,61,226,165
AMD,59,358,299
HVH,58,85,27
IDC,57,77,20
HUT,54,86,32
VIX,53,126,73
TV2,53,105,52
MHC,53,88,35
DDG,53,85,32
HPX,52,101,49
AGM,51,60,9
BVH,49,347,298
TIG,48,86,38
CTF,47,63,16
SRA,46,131,85
SCS,45,65,20
PVS,44,127,83
NBB,44,45,1
HHP,43,66,23
VSC,42,81,39
HAG,41,660,619
HAP,40,80,40
KMR,40,73,33
HDB,37,516,479
SD6,34,34,0
SIP,32,67,35
ADG,32,53,21
ITD,31,48,17
MBG,29,60,31
VCP,29,36,7
SJF,28,131,103
MCH,28,56,28
VC3,28,39,11
VIP,27,51,24
SFG,27,38,11
HBC,26,439,413
NLG,26,103,77
SZL,26,42,16
TTZ,26,28,2
CVT,25,270,245
SKG,25,50,25
FTS,25,44,19
CTR,24,55,31
CRC,24,54,30
TLD,23,211,188
AAV,23,38,15
IJC,22,57,35
FID,22,28,6
PSH,21,31,10
AGG,20,215,195
AFX,20,87,67
CTI,20,65,45
VGT,20,64,44
ROS,19,462,443
VCS,19,61,42
GKM,19,21,2
TNI,18,73,55
TA9,18,19,1
TPB,17,208,191
CEO,17,79,62
HID,17,27,10
HII,16,39,23
DCL,16,23,7
MPT,15,38,23
C69,15,33,18
PET,14,132,118
PTB,14,68,54
NDN,14,35,21
ACL,14,30,16
SFI,14,19,5
KLF,13,34,21
NTC,13,25,12
VOS,13,20,7
VGC,13,17,4
ADS,13,13,0
LDG,12,325,313
HAH,12,40,28
PVC,12,15,3
TN1,12,12,0
NT2,11,40,29
BCE,11,23,12
PGN,11,18,7
TAC,11,17,6
VNG,10,68,58
KSH,10,14,4
ACB,9,224,215
TDG,9,122,113
DPG,9,99,90
ELC,9,45,36
VTR,9,11,2
AAS,8,51,43
BVS,8,27,19
VPI,7,36,29
BTD,7,24,17
LIG,7,23,16
QBS,7,20,13
SD9,7,16,9
TCT,7,10,3
KLB,7,9,2
VHG,7,9,2
ABS,6,27,21
HLD,6,17,11
FOX,6,12,6
VNP,6,12,6
VRG,6,7,1
SWC,6,7,1
TCW,6,6,0
EIB,5,74,69
SMC,5,43,38
MPC,5,24,19
PXL,5,14,9
NNC,5,13,8
GDT,5,7,2
DTA,5,6,1
TAR,4,93,89
ANV,4,57,53
TNG,4,42,38
SBV,4,17,13
CNG,4,12,8
SRC,4,9,5
PVV,4,7,3
SVN,4,5,1
SLS,3,27,24
SHI,3,24,21
DNM,3,21,18
ASG,3,18,15
VNA,3,11,8
SEA,3,9,6
SGP,3,8,5
PVL,3,5,2
SBS,3,4,1
NHA,3,3,0
DPR,2,51,49
LTG,2,27,25
BMI,2,23,21
IDJ,2,21,19
DVP,2,15,13
NSC,2,14,12
BMC,2,14,12
SNZ,2,11,9
DBD,2,9,7
POM,2,8,6
BII,2,8,6
TXM,2,7,5
HAD,2,5,3
DQC,2,4,2
DHT,2,3,1
BOT,2,3,1
ABC,2,2,0
BVG,2,2,0
SDT,2,2,0
HSL,1,27,26
VTD,1,24,23
QNS,1,17,16
MLS,1,9,8
TDT,1,9,8
IBC,1,9,8
MBS,1,6,5
CLG,1,5,4
PAC,1,2,1
HU3,1,1,0
VIG,1,1,0
EIN,1,1,0
KHP,1,1,0
PVP,1,1,0
TDM,0,32,32
MML,0,12,12
KVC,0,12,12
ATB,0,4,4
ABI,0,4,4
PVI,0,3,3
KDF,0,3,3
VKC,0,0,0
DS3,0,0,0
DGC,-1,192,193
VOC,-1,51,52
CMG,-1,30,31
C4G,-1,21,22
YEG,-1,9,10
PXT,-1,5,6
MFS,-1,4,5
PGS,-1,3,4
BCM,-1,3,4
SKH,-1,3,4
SSN,-1,3,4
EVE,-1,1,2
PSD,-1,1,2
CDO,-1,0,1
TVS,-1,0,1
ACM,-2,11,13
VLC,-2,8,10
QTP,-2,5,7
SPI,-2,3,5
ITQ,-2,3,5
LGL,-2,2,4
VGS,-2,1,3
CIA,-2,0,2
CVN,-2,0,2
SCR,-3,120,123
STH,-3,41,44
SMB,-3,21,24
NRC,-3,16,19
SHA,-3,12,15
ASP,-3,9,12
TTH,-3,9,12
DVN,-3,4,7
SD5,-3,3,6
SDD,-3,0,3
CTP,-3,0,3
DTD,-4,49,53
VTP,-4,38,42
MSR,-4,31,35
BIC,-4,27,31
HND,-4,11,15
L14,-4,8,12
LSS,-4,5,9
S99,-4,3,7
DZM,-4,1,5
TLG,-5,101,106
PAN,-5,59,64
QCG,-5,46,51
THG,-5,22,27
PFL,-5,21,26
VCR,-5,18,23
NCT,-5,14,19
TYA,-5,10,15
DAH,-6,125,131
CKG,-6,87,93
TVB,-6,52,58
ILB,-6,25,31
PXS,-6,16,22
VEA,-6,11,17
APC,-6,6,12
TBC,-6,2,8
CMS,-6,2,8
TTN,-6,0,6
DXG,-7,443,450
CRE,-7,93,100
FIR,-7,71,78
AGR,-7,67,74
ACV,-7,30,37
PWA,-7,16,23
SJS,-7,15,22
NTP,-7,15,22
SAM,-7,15,22
ORS,-7,5,12
IDV,-7,5,12
PVT,-8,258,266
GEG,-8,121,129
PLC,-8,38,46
PVB,-8,11,19
BSI,-8,9,17
DXP,-8,6,14
BCC,-8,5,13
TDN,-8,5,13
MSH,-9,26,35
CTS,-9,22,31
VNE,-9,10,19
SBA,-9,7,16
VHE,-9,4,13
VPH,-9,2,11
TGG,-10,43,53
EVF,-10,14,24
CSM,-10,13,23
MIG,-10,4,14
BAX,-12,14,26
SGR,-12,3,15
KOS,-13,31,44
DSN,-13,4,17
AST,-14,39,53
HDA,-14,24,38
HCD,-15,104,119
ART,-15,11,26
TVN,-15,6,21
REE,-16,169,185
TDH,-16,101,117
GAB,-16,32,48
CHP,-16,15,31
OIL,-16,10,26
IDI,-17,155,172
BCG,-18,62,80
VCG,-18,37,55
VSH,-18,15,33
HDC,-20,104,124
CCL,-20,63,83
AMV,-20,19,39
DST,-20,6,26
PC1,-21,72,93
SHS,-21,68,89
SJD,-21,25,46
TLH,-22,15,37
LIX,-23,42,65
SHB,-24,99,123
DIG,-25,251,276
VRC,-26,15,41
D2D,-27,82,109
SAV,-28,11,39
VPG,-29,224,253
KSB,-32,183,215
AAA,-32,151,183
BWE,-33,25,58
VGI,-34,93,127
DMC,-39,17,56
APG,-41,101,142
JVC,-47,121,168
PLP,-47,38,85
PVD,-48,263,311
HDG,-50,409,459
DHM,-50,57,107
PPC,-50,49,99
C32,-50,47,97
TNA,-51,24,75
NVB,-51,12,63
TTB,-57,122,179
TIP,-60,21,81
SZC,-64,142,206
PHR,-68,329,397
FTM,-68,36,104
SSI,-69,529,598
TNT,-74,140,214
GIL,-75,144,219
DHA,-75,20,95
C47,-80,43,123
DLG,-83,261,344
TDC,-84,96,180
HT1,-85,152,237
BMP,-93,125,218
FMC,-95,102,197
GMD,-99,89,188
CSV,-104,81,185
HVN,-105,90,195
TTF,-108,652,760
GTN,-109,205,314
FRT,-128,82,210
CTD,-140,512,652
MBB,-146,588,734
LHG,-153,79,232
HTN,-155,35,190
KBC,-227,292,519
ASM,-306,353,659
DBC,-333,277,610
DRC,-348,138,486
TCH,-435,1025,1460
TCB,-459,3174,3633
HQC,-499,482,981
GAS,-918,629,1547
