Stock,Gap,B,S
TCH,4981,7370,2389
POW,2778,5589,2811
TCB,2316,6409,4093
VHM,1439,2978,1539
MBB,1414,3950,2536
SHB,1172,1394,222
VJC,624,928,304
NVL,456,795,339
TNG,443,890,447
SSI,408,1823,1415
ITA,374,1634,1260
SBT,358,987,629
SAB,354,684,330
APH,352,671,319
GEX,343,1559,1216
VCB,340,943,603
PVS,294,557,263
DVN,272,402,130
CTR,242,572,330
DGC,239,1222,983
DXG,238,1584,1346
DAG,233,421,188
HAH,226,759,533
AAA,204,1306,1102
DCM,195,1079,884
HPX,193,277,84
NVB,179,198,19
AGG,175,445,270
TLG,173,343,170
ABS,168,257,89
KDC,165,322,157
SHS,156,491,335
HQC,150,611,461
HHP,142,201,59
KDH,141,882,741
HDC,141,649,508
GAS,135,987,852
PLX,133,611,478
SZC,130,860,730
C4G,129,195,66
PPC,116,326,210
VGI,115,458,343
PDR,113,546,433
HCM,112,1230,1118
DIG,104,830,726
FIT,102,412,310
VCI,98,806,708
NHH,97,115,18
AAS,96,137,41
DXP,94,190,96
BMI,93,316,223
VRE,89,1988,1899
HUT,88,166,78
TV2,86,282,196
AST,86,239,153
NTC,85,119,34
SMB,84,117,33
IDC,82,273,191
EIB,78,112,34
AAV,77,147,70
TVC,73,143,70
IMP,71,194,123
TSC,68,177,109
DHM,68,135,67
TIG,68,90,22
NDN,66,168,102
PLC,63,193,130
NT2,62,290,228
VIX,61,280,219
VSC,61,223,162
MSN,60,903,843
HND,58,94,36
VCP,57,88,31
TVB,53,163,110
DDG,53,116,63
CSV,52,642,590
VEA,48,238,190
NCT,46,79,33
TYA,45,60,15
JVC,44,203,159
CVN,43,110,67
DRI,43,82,39
LCG,42,646,604
ROS,42,576,534
VCR,41,93,52
BVH,40,593,553
PAS,40,166,126
CSM,40,52,12
ASP,39,50,11
STB,38,2911,2873
GIL,38,269,231
LTG,38,147,109
EVG,37,131,94
SJS,37,78,41
QBS,36,65,29
HII,35,168,133
