,Code,Floor
217,VSF,UPCOM
218,CTB,HNX
219,ICN,UPCOM
220,TC6,HNX
221,UDC,HOSE
222,TIX,HOSE
223,HLB,UPCOM
224,VTG,UPCOM
225,HMC,HOSE
226,BRC,HOSE
227,TRA,HOSE
228,NSC,HOSE
229,VMC,HNX
230,CMC,HNX
231,EBS,HNX
232,SCC,UPCOM
233,VNC,HNX
234,SD5,HNX
235,VTA,UPCOM
236,VFR,UPCOM
237,SJ1,HNX
238,SGD,HNX
239,TL4,UPCOM
240,MAS,HNX
241,RCL,HNX
242,WCS,HNX
243,C36,UPCOM
244,HGW,UPCOM
245,TTF,HOSE
246,IDC,HNX
247,TNG,HNX
248,TDS,UPCOM
249,TST,HNX
250,KMR,HOSE
251,HSI,UPCOM
252,S96,UPCOM
253,HEC,UPCOM
254,SJM,UPCOM
255,QNC,UPCOM
256,VC6,HNX
257,SPC,UPCOM
258,SBT,HOSE
259,NVB,HNX
260,BLF,HNX
261,DC4,HOSE
262,VE1,HNX
263,THB,HNX
264,CAD,UPCOM
265,WTC,UPCOM
266,V11,UPCOM
267,ECI,HNX
268,DZM,HNX
269,DCR,UPCOM
270,EID,HNX
271,VNT,HNX
272,HLG,UPCOM
273,MCG,HOSE
274,EFI,UPCOM
275,PHC,HOSE
276,TH1,UPCOM
277,MHL,HNX
278,VIG,HNX
279,TIG,HNX
280,VFG,HOSE
281,FDC,HOSE
282,CMG,HOSE
283,TBT,UPCOM
284,PTH,UPCOM
285,PPI,UPCOM
286,DAG,HOSE
287,SSF,UPCOM
288,PSL,UPCOM
289,LCS,HNX
290,VE3,HNX
291,VHH,UPCOM
292,PRC,HNX
293,VCT,UPCOM
294,BIC,HOSE
295,VTX,UPCOM
296,VMD,HOSE
297,KTB,UPCOM
298,LCD,HNX
299,CMS,HNX
300,VKC,HNX
301,EVE,HOSE
302,PCE,HNX
303,MTH,UPCOM
304,DNM,HNX
305,CCL,HOSE
306,C47,HOSE
307,CI5,UPCOM
308,STT,UPCOM
309,TCK,UPCOM
310,MEF,UPCOM
311,VPB,HOSE
312,DCI,UPCOM
313,SHA,HOSE
314,DHP,HNX
315,KSQ,HNX
316,HTG,UPCOM
317,DP3,HNX
318,TNS,UPCOM
319,TTN,UPCOM
320,MWG,HOSE
321,DSG,UPCOM
322,KLM,UPCOM
323,AMD,HOSE
324,DAS,UPCOM
325,GSM,UPCOM
326,FID,HNX
327,HVA,UPCOM
328,C71,UPCOM
329,LDG,HOSE
330,SDX,UPCOM
331,HHV,UPCOM
332,BTU,UPCOM
333,TNI,HOSE
334,ILS,UPCOM
335,KGM,UPCOM
336,HUX,UPCOM
337,NBT,UPCOM
338,CTW,UPCOM
339,HID,HOSE
340,SHX,UPCOM
341,TAW,UPCOM
342,DDH,UPCOM
343,BSD,UPCOM
344,TCH,HOSE
345,SP2,UPCOM
346,CQT,UPCOM
347,DOC,UPCOM
348,HTW,UPCOM
349,QNW,UPCOM
350,NUE,UPCOM
351,HTT,UPCOM
352,BSQ,UPCOM
353,SZC,HOSE
354,HCS,UPCOM
355,MPY,UPCOM
356,SAL,UPCOM
357,BLT,UPCOM
358,CBS,UPCOM
359,NHT,UPCOM
